id,author,filename,dateexecuted,orderexecuted,exectype,md5sum,description,comments,tag,liquibase,contexts,labels,deployment_id
1.69-001-materialize-decision_temporal_trends,performance-engineer,db-changelog-1.69.xml,2026-01-24 15:25:45.490406,616,EXECUTED,9:b4e81062db49447c17d9d46727178972,sql,"Convert view_decision_temporal_trends to MATERIALIZED VIEW for 40% performance improvement.
        
        Issue: 8 window functions with overlapping frames (7/30/90-day moving averages)
        Current: 3 seconds
        Target: 1.8 seconds
   ...",,5.0.1,,,9264743943
1.61-drop-party-longitudinal,copilot,db-changelog-1.61.xml,2026-01-24 15:25:45.187391,540,EXECUTED,9:e597cc3a5205328ad149858ab31afde9,sql,Drop view_riksdagen_party_longitudinal_performance if exists,,5.0.1,,,9264743943
1414872417007-240,pether,db-changelog-1.2.xml,2026-01-15 04:00:41.260065,240,EXECUTED,9:591c6d509fe1d4dde6b41c9ecc5105c9,dropView viewName=view_riksdagen_goverment_role_member; createView viewName=view_riksdagen_goverment_role_member; dropView viewName=view_riksdagen_committee_role_member; createView viewName=view_riksdagen_committee_role_member; dropView viewName=v...,"",,5.0.1,,,8446037746
fix-ministry-risk-evolution-periods-1.43-001,intelligence-operative,db-changelog-1.43.xml,2026-01-15 04:00:43.820575,439,EXECUTED,9:ec9451d1bc2a00638ab3ccaa919906fa,dropView viewName=view_ministry_risk_evolution; createView viewName=view_ministry_risk_evolution,"Fix view_ministry_risk_evolution to return data for all ministries
        
        Root Cause: The view was filtering out rows where assessment_period IS NULL.
        When ministries have no document data, the DATE_TRUNC from LEFT JOIN results
 ...",,5.0.1,,,8446037746
1416258476613-210,pether (generated),db-changelog-1.1.xml,2026-01-15 04:00:40.982044,210,EXECUTED,9:c2effec0a954d668b8fd780eb04879d6,createTable tableName=document_proposal_container,"",,5.0.1,,,8446037746
2414872417007-322,party_trends,db-changelog-1.23.xml,2026-01-15 04:00:42.251673,312,EXECUTED,9:bdcfbe51f13c670188c9a003e84f7391,dropView viewName=view_riksdagen_party_ballot_support_annual_summary; createView viewName=view_riksdagen_party_ballot_support_annual_summary,"",,5.0.1,,,8446037746
1414872417007-58,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:39.642223,58,EXECUTED,9:df3cb3fdfce9bf4f6805fb84e1b9ed8a,createTable tableName=sweden_county_electoral_regi_1,"",,5.0.1,,,8446037746
25353872417007-324,party_trends-fix,db-changelog-1.26.xml,2026-01-15 04:00:42.765932,344,EXECUTED,9:60797ca4c12b59c5f244255c0bda44cf,createView viewName=view_riksdagen_party_ballot_support_annual_summary,"",,5.0.1,,,8446037746
1414872417007-281,pether (generated),db-changelog-1.7.xml,2026-01-24 15:25:45.118433,526,EXECUTED,9:083be705e77430564ef073b8269b53d2,createTable tableName=USER_ACCOUNT_GOOGLE_AUTH_SCR_0,"",,5.0.1,,,9264743943
1414872417007-206,pether,db-changelog-1.1.xml,2026-01-15 04:00:40.952838,206,EXECUTED,9:3c85c169ae80776fcc98b8be9fb3ed04,createView viewName=view_riksdagen_goverment_roles,"",,5.0.1,,,8446037746
fix-coalition-alignment-1.37-004,intelligence-operative,db-changelog-1.37.xml,2026-01-15 04:00:43.605854,415,EXECUTED,9:71d9f34b8fc38a50bff1687da325dcdb,sql; createView viewName=view_riksdagen_coalition_alignment_matrix,"Fix view_riksdagen_coalition_alignment_matrix with expanded date range
        
        Root Cause: 2-year date filter too restrictive - many parties only have older vote data.
        
        Solution: Expand from 2 years to 5 years to capture m...",,5.0.1,,,8446037746
1.53-validation,intelligence-operative,db-changelog-1.53.xml,2026-01-21 00:44:39.274031,485,EXECUTED,9:ea784e6f23a71274961868a13943099e,sql,"Validate that all 3 optimized party longitudinal views were created successfully
        with comprehensive KPIs, advanced statistical functions, and building on existing views.",,5.0.1,,,8952677820
1414872417007-116,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:40.164274,116,EXECUTED,9:1524d7c6bd18a8d8a719c4f573486968,"addPrimaryKey constraintName=performance_indicator_content_pkey, tableName=performance_indicator_content","",,5.0.1,,,8446037746
1414872417007-265-document-summary-views,pether,db-changelog-1.24.xml,2026-01-15 04:00:42.43725,329,EXECUTED,9:acc9a8db7b3db0cd2dcb3ce083a989a7,"sql; sql; sql; sql; sql; sql; sql; sql; sql; sql; sql; createView viewName=view_riksdagen_party_document_summary; createIndex indexName=idx_rpd_person_ref_id, tableName=view_riksdagen_politician_document; createIndex indexName=idx_rpd_doc_type_sub...","",,5.0.1,,,8446037746
1414872417007-239,pether,db-changelog-1.2.xml,2026-01-15 04:00:41.247935,239,EXECUTED,9:2114de6439a5fe3157a923c3d8ee36c7,dropView viewName=view_riksdagen_goverment_role_member; createView viewName=view_riksdagen_goverment_role_member; dropView viewName=view_riksdagen_committee_role_member; createView viewName=view_riksdagen_committee_role_member; dropView viewName=v...,"",,5.0.1,,,8446037746
1414872417007-296,adduseraccountcolumns,db-changelog-1.15.xml,2026-01-15 04:00:42.114612,295,EXECUTED,9:941c29c388e300e20109c3cba3fb8945,addColumn tableName=user_account; update tableName=user_account; addColumn tableName=user_account; update tableName=user_account,"",,5.0.1,,,8446037746
1.35-politician-decision-pattern-001,intelligence-operative,db-changelog-1.35.xml,2026-01-15 04:00:43.49211,400,EXECUTED,9:5db797f3c39c8716ceb1c7fac014ad7e,createView viewName=view_riksdagen_politician_decision_pattern,"Create view_riksdagen_politician_decision_pattern
        
        Tracks individual politician decision patterns from document_proposal_data,
        enabling analysis of politician-level proposal success rates, committee work
        effectivene...",,5.0.1,,,8446037746
1414872417007-280,pether (generated),db-changelog-1.7.xml,2026-01-24 15:25:45.113262,525,EXECUTED,9:63d7fcb99c22318c78bd80ac7ad9a2cb,addColumn tableName=document_element,"",,5.0.1,,,9264743943
1414872417007-278,pether,db-changelog-1.6.xml,2026-01-15 04:00:41.783408,278,EXECUTED,9:302d61374938a5619b973c5f7a3fcd85,dropView viewName=view_riksdagen_party; dropView viewName=view_riksdagen_party_summary; dropView viewName=view_riksdagen_politician; dropView viewName=view_riksdagen_party_member; createView viewName=view_riksdagen_party_member; createView viewNam...,"",,5.0.1,,,8446037746
1414872417007-160,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:40.555182,160,EXECUTED,9:cfb97bbb6da4e55006169e9879f04eea,"addForeignKeyConstraint baseTableName=user_account_address, constraintName=fk_8931ymg13vy6vfkrichtst7bj, referencedTableName=user_account","",,5.0.1,,,8446037746
verify-swedish-status-fixes-1.47-006,intelligence-operative,db-changelog-1.47.xml,2026-01-15 04:00:43.955166,451,EXECUTED,9:5592a1b5dde1654d5065376cec26f06d,sql; sql; sql; sql; sql,Post-flight verification for all 5 fixed views - simple count query,,5.0.1,,,8446037746
fix-member-proposals-1.33-001,intelligence-analyst,db-changelog-1.33.xml,2026-01-15 04:00:43.342205,378,EXECUTED,9:eac9e9cd1f0bd8fd4859b8d1954aa3c9,dropView viewName=view_riksdagen_member_proposals; createView viewName=view_riksdagen_member_proposals,"Fix view_riksdagen_member_proposals to return data
        
        Root Cause: The view filters by document_type = 'MOT' (uppercase), but
        the actual data in document_element contains 'mot' (lowercase).
        
        Solution: Use UPPER...",,5.0.1,,,8446037746
fix-voting-anomaly-1.38-004,intelligence-operative,db-changelog-1.38.xml,2026-01-15 04:00:43.657692,420,EXECUTED,9:2f4ac1c1a94ad8b9487e899f0751b225,dropView viewName=view_riksdagen_voting_anomaly_detection; createView viewName=view_riksdagen_voting_anomaly_detection,"Fix view_riksdagen_voting_anomaly_detection with expanded date range
        
        Root Cause: 1-year date filter provides insufficient historical context for
        reliable anomaly detection. Pattern recognition benefits from longer periods....",,5.0.1,,,8446037746
recreate-intelligence-dashboard-1.40-003,intelligence-operative,db-changelog-1.40.xml,2026-01-15 04:00:43.742516,430,EXECUTED,9:8817dc415e89d5760524c4ccf8b5b406,createView viewName=view_riksdagen_intelligence_dashboard,"Recreate view_riksdagen_intelligence_dashboard after crisis resilience fix
        
        This view was dropped by CASCADE when fixing view_riksdagen_crisis_resilience_indicators
        in changeSet fix-crisis-resilience-1.40-001 (cascadeConstr...",,5.0.1,,,8446037746
1414872417007-146,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:40.425522,146,EXECUTED,9:5c275b66b7eed679e55738926e5b1536,"addPrimaryKey constraintName=vote_meta_data_pkey, tableName=vote_meta_data","",,5.0.1,,,8446037746
1414872417007-225,pether,db-changelog-1.24.xml,2026-01-15 04:00:42.494951,332,EXECUTED,9:e5519073bd6d48b443777395119afafb,dropView viewName=view_riksdagen_goverment; createView viewName=view_riksdagen_goverment; dropView viewName=view_riksdagen_goverment_role_member; createView viewName=view_riksdagen_goverment_role_member,"",,5.0.1,,,8446037746
1414872417007-115,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:40.153476,115,EXECUTED,9:13ceee93ff17b702a450945b3bcb3249,"addPrimaryKey constraintName=operational_information_cont_0_pkey, tableName=operational_information_cont_0","",,5.0.1,,,8446037746
1414872417007-305,encryptedValueTableChangeStorageType,db-changelog-1.18.xml,2026-01-15 04:00:42.160744,301,EXECUTED,9:91dc17b871f8f01ef34ab9ab7bf2c363,"modifyDataType columnName=storage, tableName=encrypted_value","",,5.0.1,,,8446037746
1414872417007-96,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:39.993781,96,EXECUTED,9:0f77822e71c514105619468165aae6d5,"addPrimaryKey constraintName=document_activity_data_pkey, tableName=document_activity_data","",,5.0.1,,,8446037746
1414872417007-56,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:39.62431,56,EXECUTED,9:5d88b4f2bc6c9b00fd7dcfacb1848770,createTable tableName=sweden_county_electoral_area,"",,5.0.1,,,8446037746
1.35-ministry-decision-impact-001,intelligence-operative,db-changelog-1.35.xml,2026-01-15 04:00:43.532718,405,EXECUTED,9:d2f6d28b97abf69bccd816fc3258aa8c,createView viewName=view_ministry_decision_impact,"Create view_ministry_decision_impact
        
        Tracks ministry-initiated proposal outcomes from DOCUMENT_PROPOSAL_DATA,
        enabling analysis of which government ministries have the highest/lowest
        success rates for their legisla...",,5.0.1,,,8446037746
2414872417007-321,party_trends,db-changelog-1.23.xml,2026-01-15 04:00:42.243514,311,EXECUTED,9:8909e0c5d3ef6ecfeb4af4e93d3295ef,createView viewName=view_riksdagen_party_ballot_support_annual_summary; createView viewName=view_riksdagen_party_coalation_against_annual_summary,"",,5.0.1,,,8446037746
1414872417007-55,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:39.612019,55,EXECUTED,9:a671b76e045284f9ed125b93cd347528,createTable tableName=sweden_county_data_container,"",,5.0.1,,,8446037746
1414872417007-103,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:40.052399,103,EXECUTED,9:860b27b44274c68226953af12bb7c2ba,"addPrimaryKey constraintName=document_detail_data_pkey, tableName=document_detail_data","",,5.0.1,,,8446037746
1414872417007-180,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:40.734878,180,EXECUTED,9:dd951cd80fae1d68360c4f14a0f8ae47,"addForeignKeyConstraint baseTableName=person_data, constraintName=fk_jrgy7nw6n071uok8p1hkp03rh, referencedTableName=person_detail_data","",,5.0.1,,,8446037746
1.65-002-idx-document-made-public-date,performance-engineer,db-changelog-1.65.xml,2026-01-24 15:25:45.375398,587,EXECUTED,9:1b8ebf1019e8234b54750764c7e0f627,sql,"Create index on document_data.made_public_date for temporal trend queries.
        
        Critical for view_decision_temporal_trends which uses 8 window functions
        with overlapping frames (7/30/90-day moving averages) over 5 years of data...",,5.0.1,,,9264743943
recreate-intelligence-dashboard-1.33-003b,intelligence-analyst,db-changelog-1.33.xml,2026-01-15 04:00:43.371946,381,EXECUTED,9:cb8a00ecaa8b7e60d6d2420ad1992a1c,sql; createView viewName=view_riksdagen_intelligence_dashboard,"Recreate view_riksdagen_intelligence_dashboard after crisis resilience fix
        
        This view was dropped by CASCADE when fixing view_riksdagen_crisis_resilience_indicators.
        The view aggregates multiple intelligence indicators into...",,5.0.1,,,8446037746
1414872417007-81,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:39.862652,81,EXECUTED,9:5e7a0cc84a0279421abc59b37fac7cbc,"addPrimaryKey constraintName=application_session_pkey, tableName=application_session","",,5.0.1,,,8446037746
1414872417007-304,gdpr-classification-update-account,db-changelog-1.18.xml,2026-01-15 04:00:42.153509,300,EXECUTED,9:a785758642766d317c33f7a42de5b391,sql; sql; sql; sql; sql; sql,"",,5.0.1,,,8446037746
extend-view-riksdagen-politician-20231002,pether ,db-changelog-1.24.xml,2026-01-15 04:00:42.367058,323,EXECUTED,9:c7e51eab90afc2cec2f73cd365e799bf,dropView viewName=view_riksdagen_party; dropView viewName=view_riksdagen_party_summary; dropView viewName=view_riksdagen_politician; dropView viewName=view_riksdagen_party_member; createView viewName=view_riksdagen_party_member; createView viewNam...,"",,5.0.1,,,8446037746
1414872417007-248,pether,db-changelog-1.2.xml,2026-01-15 04:00:41.347614,248,EXECUTED,9:e26631ba948fed851e8ddafa9c91f959,createView viewName=view_riksdagen_vote_data_ballot_party_summary_weekly; createView viewName=view_riksdagen_vote_data_ballot_party_summary_monthly; createView viewName=view_riksdagen_vote_data_ballot_party_summary_annual,"",,5.0.1,,,8446037746
1.52-intro,intelligence-operative-analytics,db-changelog-1.52.xml,2026-01-15 04:00:44.077174,465,EXECUTED,9:d4b0f9ce138edd5a903956bc588bb30c,sql,v1.52 Statistical Enhancements,,5.0.1,,,8446037746
1414872417007-238,pether,db-changelog-1.2.xml,2026-01-15 04:00:41.236334,238,EXECUTED,9:9b345a7e03fca2d72d77f5d6b3351409,"dropForeignKeyConstraint baseTableName=user_account, constraintName=fk_8mmnmcgjut9nc7dfhrgxi598f; dropTable tableName=aggregated_bug_data; dropTable tableName=aggregated_country_data; dropColumn columnName=country_user_account_hjid, tableName=user...","",,5.0.1,,,8446037746
1414872417007-166,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:40.607923,166,EXECUTED,9:4dacfe145969063359c67da63be19926,"addForeignKeyConstraint baseTableName=document_status_container, constraintName=fk_9q1ktfb77gieq0xugoqe2fidd, referencedTableName=document_detail_container","",,5.0.1,,,8446037746
1414872417007-266,pether,db-changelog-1.6.xml,2026-01-15 04:00:41.676837,266,EXECUTED,9:345962d1e2cffcbe3413eb509fd97886,sql; sql; sql; sql; sql; sql; sql; sql; sql; sql; sql; sql; sql; sql; sql,"",,5.0.1,,,8446037746
1414872417007-225,pether,db-changelog-1.1.xml,2026-01-15 04:00:41.100211,225,EXECUTED,9:ea6a0f678b722d37e8d2862d86044b1e,dropView viewName=view_riksdagen_goverment; createView viewName=view_riksdagen_goverment,"",,5.0.1,,,8446037746
1414872417007-301,createEncryptedValueTable,db-changelog-1.17.xml,2026-01-15 04:00:42.128905,297,EXECUTED,9:63965b31aa35ce0c2e58f92f14a071bc,createTable tableName=encrypted_value,"",,5.0.1,,,8446037746
1.61-create-party-longitudinal,copilot,db-changelog-1.61.xml,2026-01-24 15:25:45.191602,541,EXECUTED,9:725906849e124c9f9086b64e5ab7890b,createView viewName=view_riksdagen_party_longitudinal_performance,"Recreate view_riksdagen_party_longitudinal_performance (originally from v1.53)
        
        JPA Entity: ViewRiksdagenPartyLongitudinalPerformance
        Primary Key: Composite (party, election_cycle_id, semester)
        Columns: 70 total (pe...",,5.0.1,,,9264743943
document-ministry-risk-evolution-fix-1.43-003,intelligence-operative,db-changelog-1.43.xml,2026-01-15 04:00:43.829826,441,EXECUTED,9:1dde305304eb6f05cc4091cf8a4fb217,sql,"Documentation for v1.43 view_ministry_risk_evolution fix
        
        Summary:
        - Root cause: View filtered out ministries with no documents due to NULL assessment_period
        - Solution: Generate quarterly periods independently and ...",,5.0.1,,,8446037746
1.67-idx-vote-data-window-partition,performance-engineer,db-changelog-1.67.xml,2026-01-24 15:25:45.450456,606,EXECUTED,9:e654959908dcbc003777003d6bab9a75,"createIndex indexName=idx_vote_data_window_partition, tableName=vote_data","Window function optimization index for PARTITION BY operations.
        
        Supports: All predictive views using window functions (14 views)
        Query Optimization: RANK, LAG, LEAD, NTILE, moving averages
        Expected Impact: 30-50% i...",,5.0.1,,,9264743943
1414872417007-195,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:40.865781,195,EXECUTED,9:cc1d30b724e685b87c77fc853efa1bc3,"addForeignKeyConstraint baseTableName=sweden_parliament_electoral__1, constraintName=fk_qvgtilwwyipbrv6b2cv6fcp27, referencedTableName=sweden_parliament_electoral__0","",,5.0.1,,,8446037746
1414872417007-126,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:40.249445,126,EXECUTED,9:5e6770a50d8544af0afcb6c0d720715b,"addPrimaryKey constraintName=quality_assurance_content_pkey, tableName=quality_assurance_content","",,5.0.1,,,8446037746
1414872417007-6,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:39.1327,6,EXECUTED,9:cb7c902d90871400b0f50e6517ae2e8b,createTable tableName=aggregated_country_data,"",,5.0.1,,,8446037746
2414872417007-319,javersDefaultValue2,db-changelog-1.22.xml,2026-01-15 04:00:42.227516,309,EXECUTED,9:423aa876ea8cd648b2cc511580862e4f,sql,"",,5.0.1,,,8446037746
1416258476613-214,pether (generated),db-changelog-1.1.xml,2026-01-15 04:00:41.010698,214,EXECUTED,9:758bf9de406141115f5a3dea3f38d224,"addPrimaryKey constraintName=document_proposal_data_pkey, tableName=document_proposal_data","",,5.0.1,,,8446037746
1414872417007-94,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:39.978737,94,EXECUTED,9:155d55d6251bd89a8ef243dd207ff3dd,"addPrimaryKey constraintName=detail_element_pkey, tableName=detail_element","",,5.0.1,,,8446037746
2414872417007-327,pether,db-changelog-1.24.xml,2026-01-15 04:00:42.2992,318,EXECUTED,9:49044a256f906a54d7ccb6cdf3eeba70,addColumn tableName=rule_violation,"",,5.0.1,,,8446037746
1414872417007-230,pether,db-changelog-1.1.xml,2026-01-15 04:00:41.145974,230,EXECUTED,9:74cca167d30b5635d5d604d621881082,dropView viewName=view_riksdagen_politician; createView viewName=view_riksdagen_politician,"",,5.0.1,,,8446037746
1414872417007-264,pether,db-changelog-1.5.xml,2026-01-15 04:00:41.641285,264,EXECUTED,9:0aa77dc47d643b3882f2a4ca3238c070,dropView viewName=view_riksdagen_committee_decision_type_summary; dropView viewName=view_riksdagen_committee_decision_type_org_summary; dropView viewName=view_riksdagen_committee_ballot_decision_summary; dropView viewName=view_riksdagen_committee_...,"",,5.0.1,,,8446037746
1.35-ministry-decision-impact-postflight,intelligence-operative,db-changelog-1.35.xml,2026-01-15 04:00:43.545856,407,EXECUTED,9:2b1646700fdb341fd0c3a4e6a16fb8d9,sql,Post-flight: Verify ministry decision impact view creation and validate data,,5.0.1,,,8446037746
1.64-004-idx-vote-data-aggregation-cover,performance-engineer,db-changelog-1.64.xml,2026-01-24 15:25:45.36001,583,EXECUTED,9:2e91efbdf2fa156952513ba4d3c5e0e8,sql,"Create covering index on vote_data for common temporal aggregation queries.
        
        This is a covering index that includes frequently accessed columns to enable
        index-only scans without touching the table heap.
        
        Be...",,5.0.1,,,9264743943
1414872417007-33,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:39.404602,33,EXECUTED,9:81a2a16ef0155742bd93f54156b15812,createTable tableName=document_person_reference_da_0,"",,5.0.1,,,8446037746
fix-committee-member-proposals-1.33-002,intelligence-analyst,db-changelog-1.33.xml,2026-01-15 04:00:43.35039,379,EXECUTED,9:ba278abacebf49620c4f2c950652b71d,dropView viewName=view_riksdagen_committee_parliament_member_proposal; createView viewName=view_riksdagen_committee_parliament_member_proposal,"Fix view_riksdagen_committee_parliament_member_proposal to return data
        
        Root Cause: Same as view_riksdagen_member_proposals - the view filters 
        by document_type = 'MOT' (uppercase) but data contains 'mot' (lowercase).
     ...",,5.0.1,,,8446037746
1414872417007-221,pether,db-changelog-1.1.xml,2026-01-15 04:00:41.069521,221,EXECUTED,9:22e8c979c00998ab0584a65208d0070c,dropView viewName=view_riksdagen_goverment; createView viewName=view_riksdagen_goverment,"",,5.0.1,,,8446037746
1414872417007-173,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:40.668138,173,EXECUTED,9:cbec00c068a73c3e5d6597c95e437200,"addForeignKeyConstraint baseTableName=committee_proposal_component_0, constraintName=fk_eofapva6jn5k3h5gnj4whyilb, referencedTableName=against_proposal_container","",,5.0.1,,,8446037746
1414872417007-192,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:40.84237,192,EXECUTED,9:f82186446de4769ed31f4da13061611b,"addForeignKeyConstraint baseTableName=application_view, constraintName=fk_p8b7gnxeglk71etbbql3j184s, referencedTableName=data_source_content","",,5.0.1,,,8446037746
1414872417007-164,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:40.588287,164,EXECUTED,9:4ff16e8d056a87f4c3ccd13acc819aa5,"addForeignKeyConstraint baseTableName=indicator_element, constraintName=fk_92h99v4i1pmr69x0y43pocv2a, referencedTableName=topics","",,5.0.1,,,8446037746
1414872417007-272,pether (generated),db-changelog-1.6.xml,2026-01-15 04:00:41.7204,272,EXECUTED,9:94728ce0aa674d7ef4fe9b0521b55fcb,addColumn tableName=application_session,"",,5.0.1,,,8446037746
1414872417007-31,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:39.386226,31,EXECUTED,9:9d2fbddccf267f2773209465ff52cd57,createTable tableName=document_element,"",,5.0.1,,,8446037746
1414872417007-183,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:40.761712,183,EXECUTED,9:60e718f175e5b30a169916f114881495,"addForeignKeyConstraint baseTableName=document_attachment, constraintName=fk_lean1i0p0e5rv28my9297lq22, referencedTableName=document_attachment_container","",,5.0.1,,,8446037746
fix-rebel-calculation-risk-score-evolution-1.50-001,intelligence-operative,db-changelog-1.50.xml,2026-01-15 04:00:44.010281,456,EXECUTED,9:5fe64a5feb9f29fbb32e609d9bacc58e,sql; createView viewName=view_risk_score_evolution,"Fix view_risk_score_evolution rebel vote calculation from v1.49
        
        Root Cause: v1.49 used incorrect logic comparing vote type to party name:
        `vd.vote != vd.party` (e.g., 'Ja' != 'S') which is always true.
        
        Cor...",,5.0.1,,,8446037746
new_changeset_id_4,pether,db-changelog-1.24.xml,2026-01-15 04:00:42.399703,327,EXECUTED,9:3b0d31d9363ad768e1180b3b988c2fec,dropView viewName=view_application_action_event_page_element_daily_summary; createView viewName=view_application_action_event_page_element_daily_summary,"",,5.0.1,,,8446037746
create-seasonal-activity-patterns-view-1.59-003,intelligence-operative,db-changelog-1.59.xml,2026-01-21 00:44:39.577057,513,EXECUTED,9:4849ba7c458720937bb7887e27cb70d5,createView viewName=view_riksdagen_seasonal_activity_patterns,"Create view_riksdagen_seasonal_activity_patterns to identify Q1-Q4 behavior 
        shifts across election cycles.
        
        Purpose: Comprehensive seasonal pattern analysis identifying behavioral shifts 
        across Q1-Q4 for all elect...",,5.0.1,,,8952677820
1414872417007-21,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:39.293067,21,EXECUTED,9:37c989d40b81428a93a2e8c29b6d8cb2,createTable tableName=detail_element,"",,5.0.1,,,8446037746
1.63-005-idx-doc-status-attachment-fk,performance-engineer,db-changelog-1.63.xml,2026-01-24 15:25:45.243012,553,EXECUTED,9:af96d3a42c8328acb8064438c5ca42b9,"createIndex indexName=idx_doc_status_attachment_fk, tableName=document_status_container","Create index on document_status_container.document_attachment_containe_0 foreign key.
        Improves JOIN performance with document_attachment_container table.",,5.0.1,,,9264743943
1414872417007-189,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:40.81708,189,EXECUTED,9:6e0bce434a5e5c4d0dc628b0529264db,"addForeignKeyConstraint baseTableName=topic, constraintName=fk_o7ol28sotu1r12n8txv2gigok, referencedTableName=topics","",,5.0.1,,,8446037746
1414872417007-148,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:40.442562,148,EXECUTED,9:4508dab76977f081c98a65d7653e84b7,"addForeignKeyConstraint baseTableName=person_element, constraintName=fk_13jay3yk8opnt33758httu9kb, referencedTableName=person_detail_element","",,5.0.1,,,8446037746
1.57-intro,intelligence-operative,db-changelog-1.57.xml,2026-01-21 00:44:39.433563,500,EXECUTED,9:700f30f068f52279dbeffe3e121e51f2,sql,v1.57 Historical Politician Party Transitions - Track MPs leaving their party while serving in Riksdagen,,5.0.1,,,8952677820
party-role-member-1414872417007-227,pether,db-changelog-1.24.xml,2026-01-15 04:00:42.504132,333,EXECUTED,9:fbe676dfd287959902eaeb407d2e1bd9,dropView viewName=view_riksdagen_party_role_member; createView viewName=view_riksdagen_party_role_member,"",,5.0.1,,,8446037746
1414872417007-141,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:40.381323,141,EXECUTED,9:d9a0d2ae0b49b01b86000dff4c08f92c,"addPrimaryKey constraintName=topic_pkey, tableName=topic","",,5.0.1,,,8446037746
1414872417007-185,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:40.780264,185,EXECUTED,9:aa2334e93f5fe2a5ed438f52c7507776,"addForeignKeyConstraint baseTableName=person_element, constraintName=fk_m6dcdojsb6iv9lrego5kurr7p, referencedTableName=person_assignment_element","",,5.0.1,,,8446037746
fix-swedish-status-politician-risk-summary-1.47-001,intelligence-operative,db-changelog-1.47.xml,2026-01-15 04:00:43.903962,446,EXECUTED,9:5c5b1ee4f1ab3daed6d35bf6252a217f,sql; createView viewName=view_politician_risk_summary,"Fix view_politician_risk_summary to use Swedish status values
        
        Root Cause: View filtered on status = 'active' but actual data uses Swedish values
        Solution: Filter on Swedish status values for active politicians:
          -...",,5.0.1,,,8446037746
vote-data-324,pether,db-changelog-1.25.xml,2026-01-15 04:00:42.522383,335,EXECUTED,9:515f70411429a7a26e07be4b37742628,sql,"",,5.0.1,,,8446037746
1414872417007-59,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:39.655133,59,EXECUTED,9:d14dfb21a1e78aad5fb77cb561fce391,createTable tableName=sweden_election_region,"",,5.0.1,,,8446037746
1414872417007-174,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:40.677683,174,EXECUTED,9:ad7250e1d861b489dd7ca50bb3f49df2,"addForeignKeyConstraint baseTableName=application_view, constraintName=fk_f4bptktby95bygv359chn7lbn, referencedTableName=performance_indicator_content","",,5.0.1,,,8446037746
1414872417007-194,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:40.857895,194,EXECUTED,9:452c2540e89f1802c787458cf6b48cd8,"addForeignKeyConstraint baseTableName=document_detail_data, constraintName=fk_quor6wesrmk9ierjyr7ni8wch, referencedTableName=document_detail_container","",,5.0.1,,,8446037746
1.64-003-idx-vote-data-politician-date,performance-engineer,db-changelog-1.64.xml,2026-01-24 15:25:45.356157,582,EXECUTED,9:83ea74ca9d80863cc4b3ddbcfb1ed595,sql,"Create composite index on vote_data (intressent_id, vote_date) for temporal politician analysis.
        
        Benefits:
        - Optimizes politician voting history queries with date filters
        - Supports politician performance tracking ...",,5.0.1,,,9264743943
1414872417007-236,pether,db-changelog-1.2.xml,2026-01-15 04:00:41.21469,236,EXECUTED,9:7a212611fdd15ee2fe72ba19866e2f68,dropView viewName=view_riksdagen_party_summary; dropView viewName=view_riksdagen_politician; createView viewName=view_riksdagen_politician; createView viewName=view_riksdagen_party_summary,"",,5.0.1,,,8446037746
1.63-011-idx-committee-proposal-against-fk,performance-engineer,db-changelog-1.63.xml,2026-01-24 15:25:45.265402,559,EXECUTED,9:5eed4a6c6b958c3c8e029f104084fd01,"createIndex indexName=idx_committee_proposal_against_fk, tableName=committee_proposal_component_0","Create index on committee_proposal_component_0.against_proposal_container_c_0 foreign key.
        Improves JOIN performance with proposal_container table.",,5.0.1,,,9264743943
