person_id,first_name,last_name,previous_party,new_party,transition_date,months_until_next_election,pre_transition_attendance,post_transition_attendance,attendance_change,docs_before,docs_after,defection_timing
0157062733618,Jonas,Eriksson,MP,RS,2014-10-07,47,82.58,66.88,-15.70,480,305,MID_TERM_DEFECTION
064601872511,Catharina,Elmsäter-Svärd,KD,RS,2006-10-10,47,59.32,77.85,18.53,528,295,MID_TERM_DEFECTION
0956444284814,Per,Bolund,MP,KD,2020-01-23,31,,,0.00,0,0,NORMAL_DEFECTION
0411459873625,Hanna,Gunnarsson,V,RS,2020-02-07,31,100.00,91.96,-8.04,481,446,NORMAL_DEFECTION
0157062733618,Jonas,Eriksson,MP,KD,2014-10-14,46,82.58,66.99,-15.59,480,306,MID_TERM_DEFECTION
0406831930624,Henrik,Vinge,KD,RS,2020-10-01,23,54.70,0.35,-54.35,413,575,NORMAL_DEFECTION
0853395328224,Lena,Hallengren,KD,RS,2022-10-11,47,,72.66,72.66,0,384,MID_TERM_DEFECTION
086684470825,Tobias,Andersson,RS,SD,2022-10-25,46,98.57,97.42,-1.15,700,387,MID_TERM_DEFECTION
0853395328224,Lena,Hallengren,S,RS,2022-10-11,47,,72.66,72.66,0,384,MID_TERM_DEFECTION
0793372891224,Noria,Manouchi,RS,KD,2022-11-15,45,98.99,94.59,-4.40,695,388,MID_TERM_DEFECTION
0962841101917,Annika,Qarlsson,RS,KD,2006-10-17,47,77.10,90.60,13.50,521,295,MID_TERM_DEFECTION
0612916684825,Johan,Löfstrand,RS,S,2022-10-07,47,87.20,85.68,-1.52,703,384,MID_TERM_DEFECTION
0831636664429,Mattias,Karlsson,RS,KD,2014-10-14,46,90.57,75.40,-15.17,480,306,MID_TERM_DEFECTION
0228027853620,Vasiliki,Tsouplaki,V,RS,2022-10-04,47,83.07,75.78,-7.29,703,384,MID_TERM_DEFECTION
0792716417210,Lars,Bäckström,KD,RS,2000-07-01,26,,,0.00,0,0,NORMAL_DEFECTION
069436402021,Tomas,Tobé,RS,KD,2010-10-19,46,69.73,86.39,16.66,335,432,MID_TERM_DEFECTION
0798417016112,Kristina,Zakrisson,RS,KD,2002-10-15,47,,90.15,90.15,0,453,MID_TERM_DEFECTION
0275724540919,Erik,Ullenhag,KD,FP,2014-10-04,47,,73.70,73.70,0,305,MID_TERM_DEFECTION
0667220767927,Erik,Ezelius,S,RS,2019-02-07,43,89.60,95.06,5.46,499,481,MID_TERM_DEFECTION
014744660015,Mikael,Damberg,KD,S,2012-02-23,30,83.52,73.20,-10.32,438,491,NORMAL_DEFECTION
0772402807013,Sven-Olof,Sällström,SD,KD,2014-10-14,46,95.08,99.35,4.27,480,306,MID_TERM_DEFECTION
0630824497414,Jessica,Polfjärd,M,KD,2016-03-18,29,74.04,84.01,9.97,414,413,NORMAL_DEFECTION
0875221317013,Gunilla,Carlsson,KD,S,2022-09-26,47,92.09,86.72,-5.37,708,384,MID_TERM_DEFECTION
0157062733618,Jonas,Eriksson,RS,KD,2014-10-14,46,82.58,66.99,-15.59,480,306,MID_TERM_DEFECTION
0630022377501,Bengt,Westerberg,S,KD,1994-10-18,94,,,0.00,0,0,MID_TERM_DEFECTION
0628005785225,Jörgen,Berglund,KD,RS,2024-10-18,22,90.15,78.48,-11.67,406,460,NORMAL_DEFECTION
0316505710324,Janine,Alm Ericson,MP,RS,2019-02-15,42,79.19,86.86,7.67,494,482,MID_TERM_DEFECTION
0939158389321,Samuel,Gonzalez Westling,RS,KD,2022-10-11,47,,82.81,82.81,0,384,MID_TERM_DEFECTION
0831636664429,Mattias,Karlsson,SD,RS,2014-10-07,47,90.57,75.32,-15.25,480,305,MID_TERM_DEFECTION
0992420223820,Jessica,Rosencrantz,RS,KD,2022-11-15,45,78.13,68.42,-9.71,695,38,MID_TERM_DEFECTION
0607691439013,Karin,Enström,KD,RS,2018-10-02,47,86.45,93.70,7.25,560,455,MID_TERM_DEFECTION
0824721092613,Carina,Moberg,KD,S,2011-04-12,41,83.29,64.40,-18.89,385,429,MID_TERM_DEFECTION
0446541913415,Allan,Widman,FP,KD,2006-10-17,47,79.01,76.85,-2.16,521,295,MID_TERM_DEFECTION
0836001490919,Ulrika,Heie,C,RS,2014-10-07,47,76.84,73.38,-3.46,480,305,MID_TERM_DEFECTION
0789353702707,Mats,Lindberg,KD,RS,2000-07-01,26,,,0.00,0,0,NORMAL_DEFECTION
0522054204918,Mattias,Karlsson,M,KD,2022-11-15,45,89.78,77.06,-12.72,695,388,MID_TERM_DEFECTION
0973474532717,Ibrahim,Baylan,KD,M,2015-01-01,44,61.85,,-61.85,362,0,MID_TERM_DEFECTION
0332067570917,Berit,Andnor,KD,S,2002-09-30,47,,,0.00,0,0,MID_TERM_DEFECTION
0714307225418,Sven-Erik,Österberg,KD,RS,2008-06-05,27,65.38,68.42,3.04,362,337,NORMAL_DEFECTION
0956595590924,Tobias,Billström,M,RS,2017-10-13,10,77.66,82.35,4.69,476,560,PRE_ELECTION_DEFECTION
0959102638818,Roger,Tiefensee,RS,C,2006-10-11,47,78.15,89.85,11.70,528,196,MID_TERM_DEFECTION
0130789484021,Mattias,Bäckström Johansson,KD,RS,2020-10-01,23,78.07,1.39,-76.68,413,575,NORMAL_DEFECTION
012053331219,Anna,Kinberg Batra,RS,KD,2010-10-19,46,70.92,78.23,7.31,335,432,MID_TERM_DEFECTION
023767922422,Mats,Persson,L,KD,2022-10-11,47,84.50,,-84.50,703,0,MID_TERM_DEFECTION
031005479013,Per,Westerberg,KD,RS,2002-10-08,47,,85.21,85.21,0,449,MID_TERM_DEFECTION
0541320528015,Nina,Lundström,FP,RS,2012-09-27,23,88.94,68.04,-20.90,442,480,NORMAL_DEFECTION
0793372891224,Noria,Manouchi,M,KD,2022-11-15,45,98.99,94.59,-4.40,695,388,MID_TERM_DEFECTION
0658668232410,Per,Bill,RS,KD,2010-10-19,46,95.85,99.77,3.92,335,432,MID_TERM_DEFECTION
0415959965211,Mia,Sydow Mölleby,KD,RS,2018-10-02,47,99.29,99.35,0.06,560,455,MID_TERM_DEFECTION
0956444284814,Per,Bolund,KD,M,2021-02-05,19,,52.83,52.83,0,53,NORMAL_DEFECTION
0744993950910,Anders,Ygeman,KD,RS,2017-08-31,12,,89.20,89.20,0,564,PRE_ELECTION_DEFECTION
0446541913415,Allan,Widman,RS,FP,2006-10-11,47,79.28,76.85,-2.43,528,295,MID_TERM_DEFECTION
0880452278816,Mikaela,Valtersson,MP,RS,2010-10-12,47,23.46,68.89,45.43,339,425,MID_TERM_DEFECTION
0530425150220,Annika,Strandhäll,S,M,2021-11-30,9,7.65,90.48,82.83,575,21,PRE_ELECTION_DEFECTION
0891731772016,Mats,Gerdau,RS,KD,2010-10-19,46,95.55,96.60,1.05,335,432,MID_TERM_DEFECTION
0831636664429,Mattias,Karlsson,SD,KD,2014-10-14,46,90.57,75.40,-15.17,480,306,MID_TERM_DEFECTION
