person_id,first_name,last_name,previous_party,new_party,transition_date,next_election,months_until_next_election,total_subsequent_assignments,total_days_served_after_switch,continued_as_active_mp,served_in_next_election,attained_leadership_post_switch,post_switch_roles,current_status
0222691314314,Ulf,Kristersson,M,KD,2017-12-14,2018-09-09,8,9,20441,1,1,0,"Ledamot, Riksdagsledamot, Statsminister, Suppleant",Statsminister
0836001490919,Ulrika,Heie,C,RS,2014-10-07,2018-09-09,47,13,31828,1,1,1,"Ersättare, Förste vice gruppledare, Gruppledare, Ledamot, Ordförande, Riksdagsledamot, Suppleant",Tjänstgörande riksdagsledamot
0446541913415,Allan,Widman,FP,KD,2006-10-17,2010-09-19,47,46,37955,1,1,1,"Deputerad, Ersättare, Förste vice gruppledare, Ledamot, Ordförande, Riksdagsledamot, Suppleant, Vice ordförande",Tidigare riksdagsledamot
0744993950910,Anders,Ygeman,S,RS,2017-08-31,2018-09-09,12,20,9740,1,1,1,"Ledamot, Ordförande, Riksdagsledamot, Statsråd, Suppleant, Vice ordförande",Tjänstgörande riksdagsledamot
0911916463828,Fredrik,Lundh Sammeli,KD,RS,2025-04-22,2026-09-13,16,1,532,0,1,0,Ersättare,Tjänstgörande riksdagsledamot
0992420223820,Jessica,Rosencrantz,M,KD,2022-11-15,2026-09-13,45,11,3494,1,1,1,"EU-minister, Ledamot, Ordförande, Riksdagsledamot, Statsråd, Suppleant",EU-minister
0338458649710,Anti,Avsan,RS,KD,2015-03-12,2018-09-09,41,1,1292,0,1,0,Ledamot,Tidigare riksdagsledamot
0552248175312,Berit,Högman,KD,RS,2012-03-23,2014-09-14,29,7,10598,1,1,0,"Ersättare, Förste vice gruppledare, Ledamot, Riksdagsledamot, Suppleant",Tidigare riksdagsledamot
0928223863802,Berit,Jóhannesson,KD,RS,2002-10-08,2006-09-17,47,10,5208,0,1,0,"Deputerad, Ledamot, Suppleant",Tidigare riksdagsledamot
0399430895200,Sven,Hulterström,KD,RS,2000-07-01,2002-09-15,26,2,735,0,1,0,"Ledamot, Suppleant",Tidigare riksdagsledamot
0640669898710,Gunvor,G Ericson,MP,RS,2011-09-19,2014-09-14,35,6,4375,0,1,0,"Ersättare, Förste vice gruppledare, Ledamot, Suppleant",Tidigare riksdagsledamot
0714579775816,Ewa,Thalén Finné,RS,KD,2013-01-22,2014-09-14,19,8,10222,1,1,0,"Förste vice talman, Ledamot, Riksdagsledamot, Suppleant",Tidigare riksdagsledamot
0745549193810,Stefan,Attefall,RS,S,2010-10-06,2014-09-14,47,2,4368,0,1,0,"Riksdagsledamot, Statsråd, Suppleant",Tidigare riksdagsledamot
031005479013,Per,Westerberg,KD,RS,2002-10-08,2006-09-17,47,8,15464,1,1,1,"Förste vice talman, Ledamot, Ordförande, Riksdagsledamot, Suppleant, Talman",Tidigare riksdagsledamot
0430865615328,Linda,Lindberg,RS,SD,2022-10-25,2026-09-13,46,8,6955,0,1,1,"Förste vice gruppledare, Gruppledare, Ledamot, Suppleant",Tjänstgörande riksdagsledamot
0603490586517,Jan,Björklund,KD,L,2015-11-24,2018-09-09,33,6,3005,1,1,1,"Ledamot, Partiledare, Riksdagsledamot, Suppleant",Tidigare riksdagsledamot
0371414788216,Lars,Lindblad,M,KD,2006-10-17,2010-09-19,47,3,3896,1,1,0,"Ledamot, Riksdagsledamot, Suppleant",Tidigare riksdagsledamot
086684470825,Tobias,Andersson,RS,SD,2022-10-25,2026-09-13,46,2,841,0,0,0,"Andre vice gruppledare, Ersättare",Tjänstgörande riksdagsledamot
0198917587520,Maj,Karlsson,KD,RS,2018-10-02,2022-09-11,47,14,23236,1,1,1,"Ersättare, Gruppledare, Ledamot, Riksdagsledamot, Suppleant",Tjänstgörande riksdagsledamot
TEST_PERSON_002,Anna,Testsson,V,MP,2015-04-01,2018-09-09,41,2,2830,0,1,0,Ledamot,Tidigare riksdagsledamot
0781648625615,Peter,Rådberg,KD,MP,2010-10-25,2014-09-14,46,11,2755,0,1,0,"Deputerad, Kvittningsperson, Suppleant",Tidigare riksdagsledamot
0161616238120,Lina,Nordquist,L,KD,2022-11-17,2026-09-13,45,2,1530,0,1,0,"Ledamot, Suppleant",Tjänstgörande riksdagsledamot
0959102638818,Roger,Tiefensee,RS,C,2006-10-11,2010-09-19,47,17,15087,1,1,1,"Gruppledare, Ledamot, Riksdagsledamot, Suppleant",Tidigare riksdagsledamot
0938901612810,Fredrik,Reinfeldt,KD,M,2003-10-25,2006-09-17,34,9,12628,1,1,1,"Ledamot, Partiledare, Riksdagsledamot, Statsminister",Tidigare riksdagsledamot
0284192765516,Tomas,Eneroth,S,RS,2014-10-07,2018-09-09,47,25,15636,1,1,1,"Ersättare, Infrastrukturminister, Ledamot, Ordförande, Riksdagsledamot, Statsråd, Suppleant, Vice ordförande",Avgången riksdagsledamot
0819601620927,Annika,Hirvonen,MP,RS,2019-11-29,2022-09-11,33,22,26411,1,1,1,"Ersättare, Förste vice gruppledare, Gruppledare, Ledamot, Riksdagsledamot, Suppleant",Tjänstgörande riksdagsledamot
069436402021,Tomas,Tobé,RS,KD,2010-10-19,2014-09-14,46,18,11398,1,1,1,"Andre vice ordförande, Förste vice gruppledare, Ledamot, Ordförande, Partisekreterare, Riksdagsledamot, Suppleant",Europaparlamentariker
0980681611418,Hans,Wallmark,KD,RS,2015-01-28,2018-09-09,43,48,33088,1,1,1,"Deputerad, Ersättare, Ledamot, Ordförande, Riksdagsledamot, Suppleant, Vice ordförande",Avgången riksdagsledamot
0956444284814,Per,Bolund,KD,M,2021-02-05,2022-09-11,19,10,3707,1,1,0,"Ledamot, Miljö- och klimatminister, Riksdagsledamot, Suppleant",Avgången riksdagsledamot
0853395328224,Lena,Hallengren,KD,S,2018-03-08,2018-09-09,6,13,10518,1,1,1,"Gruppledare, Ledamot, Riksdagsledamot, Socialminister, Statsråd, Vice ordförande",Tjänstgörande riksdagsledamot
0130789484021,Mattias,Bäckström Johansson,SD,RS,2020-10-01,2022-09-11,23,7,9390,1,1,1,"Ersättare, Ledamot, Partisekreterare, Riksdagsledamot, Suppleant, Tillförordnad partisekreterare",Tjänstgörande riksdagsledamot
0891731772016,Mats,Gerdau,RS,KD,2010-10-19,2014-09-14,46,2,1579,0,0,0,"Ledamot, Suppleant",Tidigare riksdagsledamot
0331967573912,Maria,Larsson,RS,KD,2006-10-17,2010-09-19,47,3,4360,0,1,0,"Ledamot, Riksdagsledamot",Tidigare riksdagsledamot
0415959965211,Mia,Sydow Mölleby,V,RS,2018-10-02,2022-09-11,47,7,16387,0,1,0,"Ledamot, Suppleant",Tidigare riksdagsledamot
0875221317013,Gunilla,Carlsson,S,RS,2022-10-04,2026-09-13,47,8,8060,0,1,1,"Ersättare, Ledamot, Personlig suppleant, Suppleant, Vice ordförande",Tjänstgörande riksdagsledamot
0406831930624,Henrik,Vinge,KD,SD,2019-04-01,2022-09-11,41,12,20535,1,1,1,"Förste vice gruppledare, Gruppledare, Ledamot, Ordförande, Riksdagsledamot, Suppleant",Tjänstgörande riksdagsledamot
0475643059428,Jonny,Cato,RS,KD,2025-09-04,2026-09-13,12,1,86,0,0,0,Ledamot,Avgången riksdagsledamot
0824721092613,Carina,Moberg,S,RS,2011-05-03,2014-09-14,40,5,1343,0,0,1,"Ledamot, Suppleant, Vice ordförande",Avliden  2012-08-15
0638497389621,Julia,Kronlid,KD,RS,2018-10-02,2022-09-11,47,10,23987,1,1,0,"Andre vice gruppledare, Andre vice ordförande, Andre vice talman, Ersättare, Ledamot, Riksdagsledamot, Suppleant",Andre vice talman (tjänstgörande riksdagsledamot)
0545733815610,Patrick,Reslow,M,SD,2018-11-07,2022-09-11,46,6,16186,1,1,0,"Ledamot, Riksdagsledamot, Suppleant",Tjänstgörande riksdagsledamot
0157062733618,Jonas,Eriksson,MP,KD,2014-10-14,2018-09-09,46,21,9986,1,1,1,"Ersättare, Förste vice gruppledare, Gruppledare, Ledamot, Ordförande, Riksdagsledamot, Suppleant",Tidigare riksdagsledamot
0956444284814,Per,Bolund,MP,M,2021-02-05,2022-09-11,19,10,3707,1,1,0,"Ledamot, Miljö- och klimatminister, Riksdagsledamot, Suppleant",Avgången riksdagsledamot
0760437424714,Magdalena,Andersson,KD,RS,2006-12-15,2010-09-19,45,6,5240,1,1,0,"Deputerad, Ledamot, Riksdagsledamot, Suppleant",Tidigare riksdagsledamot
0552248175312,Berit,Högman,KD,S,2012-02-29,2014-09-14,30,8,11541,1,1,0,"Ersättare, Förste vice gruppledare, Ledamot, Riksdagsledamot, Suppleant",Tidigare riksdagsledamot
0502770250503,Göran,Magnusson,RS,KD,2002-10-15,2006-09-17,47,3,3093,0,1,1,"Andre vice ordförande, Ledamot, Ordförande",Tidigare riksdagsledamot
0667220767927,Erik,Ezelius,S,KD,2022-06-10,2022-09-11,3,14,8445,1,1,1,"Deputerad, Ersättare, Ledamot, Ordförande, Riksdagsledamot, Suppleant",Tjänstgörande riksdagsledamot
0973474532717,Ibrahim,Baylan,KD,M,2015-01-01,2018-09-09,44,8,4088,1,1,0,"Näringsminister, Riksdagsledamot, Statsråd, Suppleant",Tidigare riksdagsledamot
0224712677012,Johan,Pehrson,KD,L,2019-06-28,2022-09-11,38,12,17517,1,1,1,"Arbetsmarknads- och integrationsminister, Gruppledare, Ledamot, Partiledare, Riksdagsledamot, Suppleant, Tillförordnad partiledare, Utbildningsminister",Avgången riksdagsledamot
0224712677012,Johan,Pehrson,FP,KD,2006-10-17,2010-09-19,47,31,43697,1,1,1,"Arbetsmarknads- och integrationsminister, Gruppledare, Ledamot, Partiledare, Personlig suppleant, Riksdagsledamot, Suppleant, Tillförordnad partiledare, Utbildningsminister",Avgången riksdagsledamot
0603490586517,Jan,Björklund,FP,KD,2014-10-14,2018-09-09,46,7,4461,1,1,1,"Ledamot, Partiledare, Riksdagsledamot, Suppleant",Tidigare riksdagsledamot
042839539117,Alice,Åström,V,KD,2006-10-17,2010-09-19,47,2,2120,0,1,0,"Ledamot, Suppleant",Tidigare riksdagsledamot
0959102638818,Roger,Tiefensee,C,KD,2006-10-17,2010-09-19,47,16,13633,1,1,1,"Gruppledare, Ledamot, Riksdagsledamot, Suppleant",Tidigare riksdagsledamot
0603753860213,Carina,Ståhl Herrstedt,SD,RS,2022-10-04,2026-09-13,47,4,3405,0,0,0,"Ersättare, Kvittningsperson, Ledamot",Avgången riksdagsledamot
0847676507229,Stina,Larsson,RS,C,2026-01-07,2026-09-13,8,1,174,0,1,0,Förste vice gruppledare,Tjänstgörande riksdagsledamot
0446973363306,Lennart,Nilsson,KD,RS,2002-10-08,2006-09-17,47,2,8709,0,1,0,"Ledamot, Suppleant",Avliden  2025-06-10
0793372891224,Noria,Manouchi,M,KD,2022-11-15,2026-09-13,45,6,4314,0,1,0,"Ledamot, Suppleant",Tjänstgörande riksdagsledamot
0384833975200,Bo,Könberg,S,KD,2002-10-15,2006-09-17,47,1,2346,0,0,0,"Ledamot, Suppleant",Tidigare riksdagsledamot
0371414788216,Lars,Lindblad,RS,KD,2006-10-17,2010-09-19,47,3,3896,1,1,0,"Ledamot, Riksdagsledamot, Suppleant",Tidigare riksdagsledamot
0772402807013,Sven-Olof,Sällström,SD,KD,2014-10-14,2018-09-09,46,21,31213,1,1,1,"Deputerad, Ledamot, Riksdagsledamot, Suppleant, Vice ordförande",Avliden  2024-03-14
0228027853620,Vasiliki,Tsouplaki,V,KD,2022-10-11,2026-09-13,47,1,1463,0,1,0,Ledamot,Tjänstgörande riksdagsledamot
0262017901513,Beatrice,Ask,KD,RS,2000-07-01,2002-09-15,26,28,23272,1,1,1,"Deputerad, Justitieminister, Ledamot, Ordförande, Riksdagsledamot, Suppleant, Vice ordförande",Tidigare riksdagsledamot
0224712677012,Johan,Pehrson,RS,KD,2006-10-17,2010-09-19,47,31,43697,1,1,1,"Arbetsmarknads- och integrationsminister, Gruppledare, Ledamot, Partiledare, Personlig suppleant, Riksdagsledamot, Suppleant, Tillförordnad partiledare, Utbildningsminister",Avgången riksdagsledamot
0612916684825,Johan,Löfstrand,KD,RS,2022-10-04,2026-09-13,47,3,7196,0,1,0,"Förste vice gruppledare, Ledamot, Suppleant",Tjänstgörande riksdagsledamot
0745549193810,Stefan,Attefall,KD,S,2010-10-06,2014-09-14,47,2,4368,0,1,0,"Riksdagsledamot, Statsråd, Suppleant",Tidigare riksdagsledamot
0803753212716,Richard,Jomshof,KD,SD,2015-02-26,2018-09-09,42,15,23446,1,1,1,"Ledamot, Ordförande, Partisekreterare, Riksdagsledamot, Suppleant",Tjänstgörande riksdagsledamot
0836001490919,Ulrika,Heie,C,KD,2014-10-14,2018-09-09,46,12,28924,1,1,1,"Ersättare, Förste vice gruppledare, Gruppledare, Ledamot, Ordförande, Riksdagsledamot, Suppleant",Tjänstgörande riksdagsledamot
0787533297400,Björn,von Sydow,KD,RS,2002-10-24,2006-09-17,46,15,18440,1,1,1,"Ledamot, Ordförande, Riksdagsledamot, Suppleant, Vice ordförande",Tidigare riksdagsledamot
0922497728524,Ardalan,Shekarabi,S,KD,2022-10-11,2026-09-13,47,6,4344,1,1,1,"Ledamot, Riksdagsledamot, Vice ordförande",Tjänstgörande riksdagsledamot
069436402021,Tomas,Tobé,RS,M,2012-09-01,2014-09-14,24,16,9486,1,1,1,"Andre vice ordförande, Förste vice gruppledare, Ledamot, Ordförande, Partisekreterare, Riksdagsledamot, Suppleant",Europaparlamentariker
0758652610,Maria,Arnholm,L,KD,2018-10-09,2022-09-11,47,4,542,0,0,0,"Ledamot, Suppleant",Tidigare riksdagsledamot
0982795248728,Jakob,Forssmed,KD,S,2022-10-18,2026-09-13,46,4,2885,0,1,0,"Riksdagsledamot, Socialminister",Socialminister
064601872511,Catharina,Elmsäter-Svärd,KD,RS,2006-10-10,2010-09-19,47,9,3686,1,0,1,"Infrastruktur- och försvarsminister, Ledamot, Ordförande, Riksdagsledamot, Statsråd, Suppleant, Vice ordförande",Tidigare riksdagsledamot
0198917587520,Maj,Karlsson,V,KD,2017-06-16,2018-09-09,14,16,26642,1,1,1,"Ersättare, Gruppledare, Ledamot, Riksdagsledamot, Suppleant",Tjänstgörande riksdagsledamot
0130789484021,Mattias,Bäckström Johansson,KD,RS,2020-10-01,2022-09-11,23,7,9390,1,1,1,"Ersättare, Ledamot, Partisekreterare, Riksdagsledamot, Suppleant, Tillförordnad partisekreterare",Tjänstgörande riksdagsledamot
0198917587520,Maj,Karlsson,V,RS,2018-10-02,2022-09-11,47,14,23236,1,1,1,"Ersättare, Gruppledare, Ledamot, Riksdagsledamot, Suppleant",Tjänstgörande riksdagsledamot
0875221317013,Gunilla,Carlsson,KD,RS,2022-10-04,2026-09-13,47,8,8060,0,1,1,"Ersättare, Ledamot, Personlig suppleant, Suppleant, Vice ordförande",Tjänstgörande riksdagsledamot
0637028706011,Bodil,Ceballos,MP,KD,2010-10-19,2014-09-14,46,12,6052,0,1,0,"Deputerad, Kvittningsperson, Ledamot, Suppleant",Tidigare riksdagsledamot
0473783431010,Morgan,Johansson,S,RS,2006-10-10,2010-09-19,47,34,25372,1,1,1,"Deputerad, Justitie- och inrikesminister, Justitie- och migrationsminister, Ledamot, Ordförande, Riksdagsledamot, Suppleant, Vice ordförande",Tjänstgörande riksdagsledamot
0331967573912,Maria,Larsson,S,KD,2006-10-17,2010-09-19,47,3,4360,0,1,0,"Ledamot, Riksdagsledamot",Tidigare riksdagsledamot
0384833975200,Bo,Könberg,RS,KD,2002-10-15,2006-09-17,47,1,2346,0,0,0,"Ledamot, Suppleant",Tidigare riksdagsledamot
0819601620927,Annika,Hirvonen,RS,KD,2021-03-05,2022-09-11,18,18,15070,1,1,1,"Ersättare, Förste vice gruppledare, Gruppledare, Ledamot, Riksdagsledamot, Suppleant",Tjänstgörande riksdagsledamot
0602744999917,Elisabeth,Thand Ringqvist,C,KD,2024-01-01,2026-09-13,32,6,2755,0,1,1,"Andre vice gruppledare, Ersättare, Förste vice gruppledare, Gruppledare, Ledamot, Partiledare",Tjänstgörande riksdagsledamot
0731442709013,Christer,Nylander,L,KD,2016-06-09,2018-09-09,27,6,16102,1,1,1,"Ledamot, Ordförande, Riksdagsledamot, Suppleant",Tidigare riksdagsledamot
0940980416614,Jan,Ericson,KD,RS,2022-11-08,2026-09-13,46,1,1428,0,1,0,Ersättare,Tjänstgörande riksdagsledamot
0899112324519,Elisabeth,Svantesson,KD,RS,2021-02-04,2022-09-11,19,6,3562,1,1,1,"Ersättare, Finansminister, Ledamot, Ordförande, Riksdagsledamot",Finansminister
0334816698724,Karolina,Skog,M,RS,2021-02-25,2022-09-11,18,1,319,0,0,0,Ersättare,Tidigare riksdagsledamot
0630824497414,Jessica,Polfjärd,M,KD,2016-03-18,2018-09-09,29,9,6115,1,1,1,"Ledamot, Ordförande, Riksdagsledamot, Suppleant, Vice ordförande",Europaparlamentariker
0584183916016,Ulf,Holm,MP,KD,2025-10-10,2026-09-13,11,3,1277,0,0,0,"Deputerad, Ersättare, Extra suppleant, Ledamot, Suppleant",Tillgänglig ersättare
0460690753617,Pia,Nilsson,RS,KD,2014-10-14,2018-09-09,46,6,18672,1,1,0,"Ersättare, Ledamot, Personlig suppleant, Riksdagsledamot, Suppleant",Tidigare riksdagsledamot
012053331219,Anna,Kinberg Batra,RS,KD,2010-10-19,2014-09-14,46,13,10173,1,1,1,"Gruppledare, Ledamot, Partiledare, Riksdagsledamot, Suppleant, Vice ordförande",Tidigare riksdagsledamot
0452755722723,Björn,Söder,SD,KD,2010-10-19,2014-09-14,46,53,57845,1,1,1,"Andre vice talman, Deputerad, Ersättare, Ledamot, Ordförande, Riksdagsledamot, Suppleant",Tjänstgörande riksdagsledamot
0938901612810,Fredrik,Reinfeldt,RS,KD,2002-10-15,2006-09-17,47,11,15171,1,1,1,"Ledamot, Partiledare, Riksdagsledamot, Statsminister, Suppleant",Tidigare riksdagsledamot
0446541913415,Allan,Widman,RS,KD,2006-10-17,2010-09-19,47,46,37955,1,1,1,"Deputerad, Ersättare, Förste vice gruppledare, Ledamot, Ordförande, Riksdagsledamot, Suppleant, Vice ordförande",Tidigare riksdagsledamot
0996403729104,Tone,Tingsgård,KD,RS,2006-10-10,2010-09-19,47,4,6869,0,1,1,"Ersättare, Ledamot, Suppleant, Vice ordförande",Tidigare riksdagsledamot
0463606088610,Bertil,Kjellberg,M,RS,2008-04-04,2010-09-19,29,3,3100,0,1,0,"Ersättare, Ledamot",Tidigare riksdagsledamot
0332067570917,Berit,Andnor,RS,S,2002-09-30,2006-09-17,47,10,9567,1,1,1,"Ledamot, Ordförande, Riksdagsledamot, Socialminister, Statsråd, Vice ordförande",Tidigare riksdagsledamot
0814945477312,Gunilla,Wahlén,V,KD,2006-10-17,2010-09-19,47,7,1874,0,1,0,"Deputerad, Ledamot, Suppleant",Tidigare riksdagsledamot
0202577142527,Matheus,Enholm,KD,RS,2025-02-14,2026-09-13,18,7,936,0,1,0,"Deputerad, Ersättare, Förste vice gruppledare, Suppleant",Tjänstgörande riksdagsledamot
0893004490313,Cecilia,Widegren,RS,KD,2010-10-19,2014-09-14,46,30,29903,1,1,1,"Deputerad, Ersättare, Ledamot, Ordförande, Riksdagsledamot, Suppleant, Vice ordförande",Tidigare riksdagsledamot
0806338394516,Mona,Sahlin,KD,S,2007-03-17,2010-09-19,42,5,4635,1,1,1,"Ledamot, Partiledare, Riksdagsledamot, Suppleant",Tidigare riksdagsledamot
0880452278816,Mikaela,Valtersson,MP,RS,2010-10-12,2014-09-14,47,1,1014,0,0,0,"Ledamot, Suppleant",Tidigare riksdagsledamot
0130789484021,Mattias,Bäckström Johansson,SD,KD,2020-04-08,2022-09-11,29,8,10304,1,1,1,"Ersättare, Ledamot, Partisekreterare, Riksdagsledamot, Suppleant, Tillförordnad partisekreterare",Tjänstgörande riksdagsledamot
0193303720505,Anita,Johansson,KD,RS,2000-07-01,2002-09-15,26,6,8205,1,1,1,"Ledamot, Riksdagsledamot, Suppleant, Vice ordförande",Tidigare riksdagsledamot
0607691439013,Karin,Enström,KD,M,2022-10-19,2026-09-13,46,10,8198,0,1,1,"Ledamot, Ordförande, Partisekreterare, Suppleant",Tjänstgörande riksdagsledamot
0181942435301,Ingela,Thalén,S,KD,1990-05-31,2002-09-15,147,18,13060,1,1,1,"Ledamot, Ordförande, Riksdagsledamot, Socialminister, Statsråd, Suppleant",Tidigare riksdagsledamot
0473783431010,Morgan,Johansson,S,KD,2010-10-19,2014-09-14,46,25,18855,1,1,1,"Deputerad, Justitie- och inrikesminister, Justitie- och migrationsminister, Ledamot, Ordförande, Riksdagsledamot, Suppleant, Vice ordförande",Tjänstgörande riksdagsledamot
0630824497414,Jessica,Polfjärd,RS,M,2015-01-13,2018-09-09,43,13,12054,1,1,1,"Gruppledare, Ledamot, Ordförande, Riksdagsledamot, Suppleant, Vice ordförande",Europaparlamentariker
0229760896014,Anders,W Jonsson,C,KD,2011-10-19,2014-09-14,34,18,33616,1,1,1,"Gruppledare, Ledamot, Ordförande, Riksdagsledamot, Suppleant",Tjänstgörande riksdagsledamot
0962841101917,Annika,Qarlsson,RS,KD,2006-10-17,2010-09-19,47,14,28086,1,1,0,"Förste vice ordförande, Ledamot, Riksdagsledamot, Suppleant",Tidigare riksdagsledamot
0901257862125,Hans,Linde,V,KD,2010-10-19,2014-09-14,46,21,6657,1,1,1,"Deputerad, Gruppledare, Ledamot, Riksdagsledamot, Suppleant",Tidigare riksdagsledamot
0584659199514,Göran,Hägglund,KD,RS,2000-07-01,2002-09-15,26,15,19481,1,1,1,"Ledamot, Ordförande, Partiledare, Riksdagsledamot, Socialminister, Suppleant",Tidigare riksdagsledamot
0110600080618,Håkan,Juholt,KD,S,2011-03-25,2014-09-14,41,7,2859,1,1,1,"Ledamot, Partiledare, Riksdagsledamot, Suppleant",Tidigare riksdagsledamot
0483316376813,Mikael,Odenberg,RS,KD,2003-11-24,2006-09-17,33,5,3108,1,1,0,"Försvarsminister, Ledamot, Riksdagsledamot",Tidigare riksdagsledamot
0802546764724,Åsa,Westlund,KD,RS,2022-10-04,2026-09-13,47,5,3675,0,1,1,"Ledamot, Vice ordförande",Tjänstgörande riksdagsledamot
0980681611418,Hans,Wallmark,M,RS,2015-01-28,2018-09-09,43,48,33088,1,1,1,"Deputerad, Ersättare, Ledamot, Ordförande, Riksdagsledamot, Suppleant, Vice ordförande",Avgången riksdagsledamot
0522054204918,Mattias,Karlsson,RS,KD,2022-11-15,2026-09-13,45,3,2138,0,1,1,"Ledamot, Ordförande",Tjänstgörande riksdagsledamot
0962841101917,Annika,Qarlsson,C,KD,2006-10-17,2010-09-19,47,14,28086,1,1,0,"Förste vice ordförande, Ledamot, Riksdagsledamot, Suppleant",Tidigare riksdagsledamot
0694917698222,Michael,Rubbestad,RS,SD,2023-04-26,2026-09-13,40,8,4937,0,0,0,"Ersättare, Förste vice gruppledare, Ledamot, Suppleant",Avgången riksdagsledamot
0584659199514,Göran,Hägglund,KD,S,2006-10-06,2010-09-19,47,8,9350,1,1,0,"Ledamot, Riksdagsledamot, Socialminister, Suppleant",Tidigare riksdagsledamot
0618560932311,Hillevi,Engström,RS,KD,2008-05-09,2010-09-19,28,8,4197,1,1,0,"Arbetsmarknadsminister, Ledamot, Riksdagsledamot, Statsråd, Suppleant",Tidigare riksdagsledamot
0229760896014,Anders,W Jonsson,C,RS,2014-10-07,2018-09-09,47,14,26314,1,1,0,"Ledamot, Riksdagsledamot, Suppleant",Tjänstgörande riksdagsledamot
0744139167426,Rasmus,Ling,MP,RS,2022-01-13,2022-09-11,7,15,7156,1,1,1,"Ersättare, Förste vice gruppledare, Gruppledare, Ledamot, Riksdagsledamot, Suppleant",Avgången riksdagsledamot
0316505710324,Janine,Alm Ericson,KD,RS,2019-02-15,2022-09-11,42,24,24938,1,1,1,"Deputerad, Ersättare, Förste vice gruppledare, Gruppledare, Ledamot, Riksdagsledamot, Suppleant",Tjänstgörande riksdagsledamot
0183788551910,Åsa,Torstensson,KD,C,2010-10-25,2014-09-14,46,5,3254,0,1,0,"Kvittningsperson, Ledamot, Suppleant",Tidigare riksdagsledamot
0275724540919,Erik,Ullenhag,KD,FP,2014-10-04,2018-09-09,47,4,2572,1,0,1,"Gruppledare, Ledamot, Riksdagsledamot, Suppleant",Tidigare riksdagsledamot
0925652297119,Per,Ramhorn,SD,RS,2014-10-07,2018-09-09,47,9,23006,1,1,0,"Ersättare, Ledamot, Riksdagsledamot, Suppleant",Tidigare riksdagsledamot
0522460069116,Cecilia,Magnusson,M,RS,2010-10-12,2014-09-14,47,9,15138,1,1,0,"Deputerad, Ersättare, Kvittningsperson, Ledamot, Riksdagsledamot, Suppleant",Tidigare riksdagsledamot
0522460069116,Cecilia,Magnusson,RS,KD,2010-10-19,2014-09-14,46,8,12940,1,1,0,"Deputerad, Ersättare, Kvittningsperson, Ledamot, Riksdagsledamot, Suppleant",Tidigare riksdagsledamot
039655712615,Margareta,Pålsson,KD,M,2008-03-12,2010-09-19,30,4,5013,1,1,1,"Förste vice gruppledare, Ledamot, Ordförande, Riksdagsledamot, Suppleant",Tidigare riksdagsledamot
0567830387107,Birgitta,Dahl,KD,RS,2000-07-01,2002-09-15,26,1,821,0,1,0,Ledamot,Avliden  2024-11-26
0718034011110,Jessika,Roswall,RS,M,2020-09-29,2022-09-11,23,7,2278,1,1,1,"Förste vice gruppledare, Ledamot, Ordförande, Riksdagsledamot, Statsråd, Suppleant",Avgången riksdagsledamot
0793372891224,Noria,Manouchi,M,RS,2022-10-27,2026-09-13,46,7,5754,0,1,0,"Ersättare, Ledamot, Suppleant",Tjänstgörande riksdagsledamot
0992420223820,Jessica,Rosencrantz,M,RS,2022-10-27,2026-09-13,46,12,4178,1,1,1,"EU-minister, Ledamot, Ordförande, Riksdagsledamot, Statsråd, Suppleant",EU-minister
069436402021,Tomas,Tobé,KD,M,2012-09-01,2014-09-14,24,16,9486,1,1,1,"Andre vice ordförande, Förste vice gruppledare, Ledamot, Ordförande, Partisekreterare, Riksdagsledamot, Suppleant",Europaparlamentariker
023767922422,Mats,Persson,L,KD,2022-10-11,2026-09-13,47,7,3584,1,1,0,"Arbetsmarknads- och integrationsminister, Ledamot, Riksdagsledamot, Suppleant, Utbildningsminister",Tjänstgörande riksdagsledamot
0853395328224,Lena,Hallengren,KD,RS,2022-10-11,2026-09-13,47,5,5308,1,1,1,"Ledamot, Riksdagsledamot, Vice ordförande",Tjänstgörande riksdagsledamot
0939158389321,Samuel,Gonzalez Westling,V,RS,2022-10-04,2026-09-13,47,9,6930,0,1,0,"Ledamot, Suppleant",Tjänstgörande riksdagsledamot
0462699892622,Maria,Ferm,MP,RS,2014-10-07,2018-09-09,47,23,16189,1,1,1,"Ersättare, Förste vice gruppledare, Gruppledare, Ledamot, Riksdagsledamot, Suppleant",Tidigare riksdagsledamot
051207517226,Jimmie,Åkesson,SD,KD,2010-10-19,2014-09-14,46,11,11983,1,1,0,"Ledamot, Riksdagsledamot",Tjänstgörande riksdagsledamot
0463606088610,Bertil,Kjellberg,KD,RS,2008-04-04,2010-09-19,29,3,3100,0,1,0,"Ersättare, Ledamot",Tidigare riksdagsledamot
0288805051019,Lars,Johansson,KD,RS,2010-10-12,2014-09-14,47,3,3359,0,1,0,"Ersättare, Ledamot",Tidigare riksdagsledamot
0541320528015,Nina,Lundström,FP,RS,2012-09-27,2014-09-14,23,19,22606,1,1,1,"Ersättare, Extra suppleant, Förste vice gruppledare, Ledamot, Riksdagsledamot, Statsrådsersättare, Suppleant, Vice ordförande",Tidigare riksdagsledamot
0349986646724,Märta,Stenevi,MP,KD,2022-10-11,2026-09-13,47,6,4468,1,0,0,"Ledamot, Riksdagsledamot, Suppleant",Avgången riksdagsledamot
