ministry_code,committee,decision_type,decision_quarter,decision_year,quarter_num,total_proposals,approved_proposals,rejected_proposals,referred_back_proposals,committee_referral_proposals,other_decisions,approval_rate,rejection_rate,committee_referral_rate,earliest_proposal_date,latest_proposal_date
Socialdepartementet,delvis bifall,"",2001-01-01 00:00:00+00,2001,1,4,0,0,0,4,0,0.00,0.00,100.00,2001-01-01,2001-01-01
FI," Bifall,  Delvis bifall,  Avslag",Acklamation,2008-10-01 00:00:00+00,2008,4,1,1,0,0,0,0,100.00,0.00,0.00,2008-11-19,2008-11-19
JU, Bifall,Acklamation,2005-01-01 00:00:00+00,2005,1,8,8,0,0,0,0,100.00,0.00,0.00,2005-01-03,2005-03-17
A," Bifall,  Bifall",Röstning,2014-01-01 00:00:00+00,2014,1,1,1,0,0,0,0,100.00,0.00,0.00,2014-03-11,2014-03-11
N, Bifall,Röstning,2008-07-01 00:00:00+00,2008,3,2,2,0,0,0,0,100.00,0.00,0.00,2008-09-16,2008-09-30
JU, Bifall,Acklamation,2004-10-01 00:00:00+00,2004,4,5,5,0,0,0,0,100.00,0.00,0.00,2004-10-05,2004-12-29
Miljö- och energidepartementet,Bifall,"",2016-10-01 00:00:00+00,2016,4,3,3,0,0,0,0,100.00,0.00,0.00,2016-12-06,2016-12-28
Miljö- och energidepartementet,Bifall,"",2015-04-01 00:00:00+00,2015,2,2,2,0,0,0,0,100.00,0.00,0.00,2015-05-26,2015-05-26
FI," Bifall,  Bifall,  Bifall,  Bifall,  Bifall,  Bifall,  Bifall,  Bifall",Röstning,2013-07-01 00:00:00+00,2013,3,1,1,0,0,0,0,100.00,0.00,0.00,2013-09-26,2013-09-26
JU, Bifall,Röstning,2009-10-01 00:00:00+00,2009,4,4,4,0,0,0,0,100.00,0.00,0.00,2009-11-25,2009-12-21
Näringsdepartementet,Bifall,"",2016-07-01 00:00:00+00,2016,3,2,2,0,0,0,0,100.00,0.00,0.00,2016-09-06,2016-09-15
UD, Bifall,Acklamation,2005-01-01 00:00:00+00,2005,1,2,2,0,0,0,0,100.00,0.00,0.00,2005-03-14,2005-03-21
Utrikesdepartementet,Bifall,"",2015-01-01 00:00:00+00,2015,1,1,1,0,0,0,0,100.00,0.00,0.00,2015-03-17,2015-03-17
M  t.o.m. 1 jan-07,"","",2005-10-01 00:00:00+00,2005,4,1,1,0,0,0,0,100.00,0.00,0.00,2005-10-19,2005-10-19
M  t.o.m. 1 jan-07," Bifall,  Bifall",Acklamation,2005-04-01 00:00:00+00,2005,2,1,1,0,0,0,0,100.00,0.00,0.00,2005-05-10,2005-05-10
JU, Bifall,Acklamation,2010-07-01 00:00:00+00,2010,3,1,1,0,0,0,0,100.00,0.00,0.00,2010-09-28,2010-09-28
Utrikesdepartementet, Bifall,Acklamation,2003-04-01 00:00:00+00,2003,2,4,4,0,0,0,0,100.00,0.00,0.00,2003-04-10,2003-05-22
FI, Delvis bifall,Acklamation,2003-10-01 00:00:00+00,2003,4,1,1,0,0,0,0,100.00,0.00,0.00,2003-10-22,2003-10-22
JU," Bifall,  Bifall,  Bifall",Acklamation,2005-01-01 00:00:00+00,2005,1,1,1,0,0,0,0,100.00,0.00,0.00,2005-03-08,2005-03-08
U t.o.m. 1 jan-07, Bifall,Acklamation,2005-04-01 00:00:00+00,2005,2,1,1,0,0,0,0,100.00,0.00,0.00,2005-06-14,2005-06-14
Ju, Bifall,Röstning,2013-07-01 00:00:00+00,2013,3,3,3,0,0,0,0,100.00,0.00,0.00,2013-07-03,2013-09-18
Arbetsmarknadsdepartementet,Bifall,"",2017-01-01 00:00:00+00,2017,1,3,3,0,0,0,0,100.00,0.00,0.00,2017-02-09,2017-02-28
S, Bifall,Röstning,2014-01-01 00:00:00+00,2014,1,5,5,0,0,0,0,100.00,0.00,0.00,2014-01-28,2014-03-26
FI, Bifall,Röstning,2009-07-01 00:00:00+00,2009,3,1,1,0,0,0,0,100.00,0.00,0.00,2009-09-21,2009-09-21
FI, Bifall,Acklamation,2010-07-01 00:00:00+00,2010,3,1,1,0,0,0,0,100.00,0.00,0.00,2010-09-15,2010-09-15
Socialdepartementet,Bifall,"",2016-10-01 00:00:00+00,2016,4,3,3,0,0,0,0,100.00,0.00,0.00,2016-10-03,2016-12-19
JU, Avslag,Röstning,2010-01-01 00:00:00+00,2010,1,1,0,1,0,0,0,0.00,100.00,0.00,2010-03-15,2010-03-15
JU, Bifall,Acklamation,2007-07-01 00:00:00+00,2007,3,1,1,0,0,0,0,100.00,0.00,0.00,2007-09-28,2007-09-28
S, Delvis bifall,Acklamation,2009-04-01 00:00:00+00,2009,2,1,1,0,0,0,0,100.00,0.00,0.00,2009-06-09,2009-06-09
Finansdepartementet,delvis bifall,"",2001-01-01 00:00:00+00,2001,1,5,0,0,0,5,0,0.00,0.00,100.00,2001-01-01,2001-01-01
A, Bifall,Acklamation,2009-01-01 00:00:00+00,2009,1,1,1,0,0,0,0,100.00,0.00,0.00,2009-03-17,2009-03-17
Utbildningsdepartementet,Bifall,"",2025-04-01 00:00:00+00,2025,2,1,1,0,0,0,0,100.00,0.00,0.00,2025-04-16,2025-04-16
Utbildningsdepartementet,bifall,"",2000-01-01 00:00:00+00,2000,1,3,0,0,0,3,0,0.00,0.00,100.00,2000-01-01,2000-01-01
FI, Bifall,Röstning,2012-07-01 00:00:00+00,2012,3,1,1,0,0,0,0,100.00,0.00,0.00,2012-09-20,2012-09-20
Miljö- och energidepartementet,Bifall,"",2015-10-01 00:00:00+00,2015,4,2,2,0,0,0,0,100.00,0.00,0.00,2015-10-22,2015-11-10
JO, Bifall,Acklamation,2005-07-01 00:00:00+00,2005,3,1,1,0,0,0,0,100.00,0.00,0.00,2005-09-13,2005-09-13
Ku, Bifall,Acklamation,2008-01-01 00:00:00+00,2008,1,1,1,0,0,0,0,100.00,0.00,0.00,2008-03-17,2008-03-17
A, Bifall,Acklamation,2010-10-01 00:00:00+00,2010,4,1,1,0,0,0,0,100.00,0.00,0.00,2010-12-07,2010-12-07
S," Bifall,  Bifall",Acklamation,2005-01-01 00:00:00+00,2005,1,1,1,0,0,0,0,100.00,0.00,0.00,2005-03-22,2005-03-22
FI, Bifall,Acklamation,2013-07-01 00:00:00+00,2013,3,2,2,0,0,0,0,100.00,0.00,0.00,2013-07-03,2013-09-18
FI, Bifall,Acklamation,2004-01-01 00:00:00+00,2004,1,5,5,0,0,0,0,100.00,0.00,0.00,2004-02-03,2004-03-18
S, Bifall,Röstning,2006-10-01 00:00:00+00,2006,4,1,1,0,0,0,0,100.00,0.00,0.00,2006-11-06,2006-11-06
N, Bifall,Acklamation,2007-01-01 00:00:00+00,2007,1,7,7,0,0,0,0,100.00,0.00,0.00,2007-01-29,2007-03-16
Justitiedepartementet,Bifall,"",2016-10-01 00:00:00+00,2016,4,7,7,0,0,0,0,100.00,0.00,0.00,2016-10-04,2016-12-14
KUD t.o.m. -04, Bifall,Röstning,2004-01-01 00:00:00+00,2004,1,2,2,0,0,0,0,100.00,0.00,0.00,2004-01-20,2004-03-17
M," Bifall,  Delvis bifall",Acklamation,2010-04-01 00:00:00+00,2010,2,1,1,0,0,0,0,100.00,0.00,0.00,2010-04-19,2010-04-19
Försvarsdepartementet,Bifall,"",2020-01-01 00:00:00+00,2020,1,1,1,0,0,0,0,100.00,0.00,0.00,2020-03-11,2020-03-11
N, Bifall,Röstning,2003-01-01 00:00:00+00,2003,1,2,2,0,0,0,0,100.00,0.00,0.00,2003-03-19,2003-03-20
M  t.o.m. 1 jan-07," Bifall,  Bifall,  Bifall",Acklamation,2006-01-01 00:00:00+00,2006,1,1,1,0,0,0,0,100.00,0.00,0.00,2006-02-08,2006-02-08
Finansdepartementet,Bifall,"",2002-01-01 00:00:00+00,2002,1,3,0,0,0,3,0,0.00,0.00,100.00,2002-01-17,2002-03-27
FI,Delvis bifall,"",2001-10-01 00:00:00+00,2001,4,1,0,0,0,1,0,0.00,0.00,100.00,2001-10-25,2001-10-25
FI, Bifall,Acklamation,2010-01-01 00:00:00+00,2010,1,15,15,0,0,0,0,100.00,0.00,0.00,2010-01-21,2010-03-31
UD, Bifall,Röstning,2014-01-01 00:00:00+00,2014,1,1,1,0,0,0,0,100.00,0.00,0.00,2014-03-18,2014-03-18
Kulturdepartementet,Bifall,"",2025-04-01 00:00:00+00,2025,2,2,2,0,0,0,0,100.00,0.00,0.00,2025-04-30,2025-05-22
Socialdepartementet,Bifall,"",2015-07-01 00:00:00+00,2015,3,2,2,0,0,0,0,100.00,0.00,0.00,2015-09-14,2015-09-14
S, Bifall,Röstning,2012-04-01 00:00:00+00,2012,2,1,1,0,0,0,0,100.00,0.00,0.00,2012-06-15,2012-06-15
L," Bifall,  Bifall",Acklamation,2012-04-01 00:00:00+00,2012,2,1,1,0,0,0,0,100.00,0.00,0.00,2012-04-04,2012-04-04
FI," Bifall,  Bifall,  Avslag,  Bifall,  Delvis bifall,  Delvis bifall",Röstning,2008-07-01 00:00:00+00,2008,3,1,1,0,0,0,0,100.00,0.00,0.00,2008-09-23,2008-09-23
FI, Delvis bifall,Acklamation,2013-04-01 00:00:00+00,2013,2,1,1,0,0,0,0,100.00,0.00,0.00,2013-05-13,2013-05-13
Finansdepartementet,Delvis bifall,"",2017-04-01 00:00:00+00,2017,2,2,2,0,0,0,0,100.00,0.00,0.00,2017-04-11,2017-04-26
Ku, Bifall,Röstning,2007-07-01 00:00:00+00,2007,3,1,1,0,0,0,0,100.00,0.00,0.00,2007-09-20,2007-09-20
N, Bifall,Röstning,2004-04-01 00:00:00+00,2004,2,3,3,0,0,0,0,100.00,0.00,0.00,2004-04-02,2004-05-28
M  t.o.m. 1 jan-07," Bifall,  Delvis bifall,  Bifall",Acklamation,2006-01-01 00:00:00+00,2006,1,1,1,0,0,0,0,100.00,0.00,0.00,2006-03-22,2006-03-22
JU, Delvis bifall,Acklamation,2005-07-01 00:00:00+00,2005,3,1,1,0,0,0,0,100.00,0.00,0.00,2005-09-30,2005-09-30
Näringsdepartementet,Bifall,"",2021-04-01 00:00:00+00,2021,2,1,1,0,0,0,0,100.00,0.00,0.00,2021-05-04,2021-05-04
JO,Bifall,"",2001-10-01 00:00:00+00,2001,4,1,0,0,0,1,0,0.00,0.00,100.00,2001-12-11,2001-12-11
FI, Delvis bifall,Acklamation,2004-10-01 00:00:00+00,2004,4,1,1,0,0,0,0,100.00,0.00,0.00,2004-10-13,2004-10-13
Utbildningsdepartementet,Bifall,"",2015-01-01 00:00:00+00,2015,1,1,1,0,0,0,0,100.00,0.00,0.00,2015-03-17,2015-03-17
M, Bifall,Acklamation,2011-01-01 00:00:00+00,2011,1,4,4,0,0,0,0,100.00,0.00,0.00,2011-01-12,2011-03-22
FI, Delvis bifall,Acklamation,2007-01-01 00:00:00+00,2007,1,1,1,0,0,0,0,100.00,0.00,0.00,2007-03-22,2007-03-22
JU, Bifall,Röstning,2003-01-01 00:00:00+00,2003,1,4,4,0,0,0,0,100.00,0.00,0.00,2003-03-12,2003-03-18
N, Delvis bifall,Acklamation,2005-01-01 00:00:00+00,2005,1,1,1,0,0,0,0,100.00,0.00,0.00,2005-03-31,2005-03-31
FI," Bifall,  Bifall,  Bifall,  Bifall,  Bifall",Acklamation,2003-01-01 00:00:00+00,2003,1,1,1,0,0,0,0,100.00,0.00,0.00,2003-03-18,2003-03-18
Finansdepartementet,Bifall,"",2025-01-01 00:00:00+00,2025,1,13,13,0,0,0,0,100.00,0.00,0.00,2025-01-21,2025-03-27
"", Bifall,Acklamation,2009-01-01 00:00:00+00,2009,1,1,1,0,0,0,0,100.00,0.00,0.00,2009-01-01,2009-01-01
S," Bifall,  Bifall,  Bifall,  Bifall,  Bifall,  Bifall,  Bifall,  Delvis bifall,  Delvis bifall",Acklamation,2004-04-01 00:00:00+00,2004,2,1,1,0,0,0,0,100.00,0.00,0.00,2004-04-21,2004-04-21
JO," Bifall,  Bifall,  Bifall",Acklamation,2008-01-01 00:00:00+00,2008,1,1,1,0,0,0,0,100.00,0.00,0.00,2008-03-18,2008-03-18
JU, Delvis bifall,Acklamation,2009-07-01 00:00:00+00,2009,3,1,1,0,0,0,0,100.00,0.00,0.00,2009-07-01,2009-07-01
Näringsdepartementet,Bifall,"",2002-01-01 00:00:00+00,2002,1,5,0,0,0,5,0,0.00,0.00,100.00,2002-01-17,2002-03-14
N, Bifall,Röstning,2008-10-01 00:00:00+00,2008,4,1,1,0,0,0,0,100.00,0.00,0.00,2008-10-02,2008-10-02
Kulturdepartementet,Bifall,"",2025-07-01 00:00:00+00,2025,3,2,2,0,0,0,0,100.00,0.00,0.00,2025-07-01,2025-09-16
Landsbygds- och infrastrukturdepartementet,Bifall,"",2024-10-01 00:00:00+00,2024,4,1,1,0,0,0,0,100.00,0.00,0.00,2024-10-03,2024-10-03
Socialdepartementet,Bifall,"",2021-01-01 00:00:00+00,2021,1,1,1,0,0,0,0,100.00,0.00,0.00,2021-01-04,2021-01-04
S, Bifall,Röstning,2007-01-01 00:00:00+00,2007,1,2,2,0,0,0,0,100.00,0.00,0.00,2007-01-16,2007-03-26
Näringsdepartementet,Delvis bifall,"",2016-07-01 00:00:00+00,2016,3,1,1,0,0,0,0,100.00,0.00,0.00,2016-07-19,2016-07-19
N, Delvis bifall,Acklamation,2010-04-01 00:00:00+00,2010,2,2,2,0,0,0,0,100.00,0.00,0.00,2010-04-01,2010-06-09
Infrastrukturdepartementet,Bifall,"",2022-01-01 00:00:00+00,2022,1,1,1,0,0,0,0,100.00,0.00,0.00,2022-02-17,2022-02-17
U, Delvis bifall,Acklamation,2007-10-01 00:00:00+00,2007,4,1,1,0,0,0,0,100.00,0.00,0.00,2007-12-19,2007-12-19
N, Delvis bifall,Röstning,2012-01-01 00:00:00+00,2012,1,1,1,0,0,0,0,100.00,0.00,0.00,2012-03-05,2012-03-05
Finansdepartementet,Bifall,"",2017-10-01 00:00:00+00,2017,4,6,6,0,0,0,0,100.00,0.00,0.00,2017-10-10,2017-12-05
FI, Bifall,Acklamation,2003-04-01 00:00:00+00,2003,2,4,4,0,0,0,0,100.00,0.00,0.00,2003-05-20,2003-05-27
JU," Bifall,  Bifall,  Bifall",Acklamation,2003-01-01 00:00:00+00,2003,1,2,2,0,0,0,0,100.00,0.00,0.00,2003-02-13,2003-03-20
U, Bifall,Röstning,2011-10-01 00:00:00+00,2011,4,1,1,0,0,0,0,100.00,0.00,0.00,2011-12-19,2011-12-19
JU, Delvis bifall,Acklamation,2010-01-01 00:00:00+00,2010,1,3,3,0,0,0,0,100.00,0.00,0.00,2010-01-19,2010-03-23
UD, Bifall,Acklamation,2008-10-01 00:00:00+00,2008,4,1,1,0,0,0,0,100.00,0.00,0.00,2008-10-20,2008-10-20
U t.o.m. -04," Bifall,  Bifall,  Bifall,  Bifall,  Bifall,  Bifall,  Bifall,  Bifall,  Bifall",Acklamation,2004-04-01 00:00:00+00,2004,2,1,1,0,0,0,0,100.00,0.00,0.00,2004-04-28,2004-04-28
Utbildningsdepartementet,Bifall,"",2017-01-01 00:00:00+00,2017,1,3,3,0,0,0,0,100.00,0.00,0.00,2017-03-21,2017-03-23
JU, Bifall,Acklamation,2003-01-01 00:00:00+00,2003,1,6,6,0,0,0,0,100.00,0.00,0.00,2003-01-27,2003-03-20
Finansdepartementet,Bifall,"",2024-07-01 00:00:00+00,2024,3,3,3,0,0,0,0,100.00,0.00,0.00,2024-09-17,2024-09-19
UD,Avslag,"",2002-01-01 00:00:00+00,2002,1,1,0,0,0,1,0,0.00,0.00,100.00,2002-03-21,2002-03-21
S, Bifall,Röstning,2007-10-01 00:00:00+00,2007,4,1,1,0,0,0,0,100.00,0.00,0.00,2007-12-12,2007-12-12
S," Bifall,  Bifall",Acklamation,2004-04-01 00:00:00+00,2004,2,1,1,0,0,0,0,100.00,0.00,0.00,2004-05-12,2004-05-12
JU, Delvis bifall,Röstning,2008-10-01 00:00:00+00,2008,4,1,1,0,0,0,0,100.00,0.00,0.00,2008-12-17,2008-12-17
JO, Bifall,Acklamation,2007-10-01 00:00:00+00,2007,4,1,1,0,0,0,0,100.00,0.00,0.00,2007-10-22,2007-10-22
Finansdepartementet,Bifall,"",2024-10-01 00:00:00+00,2024,4,4,4,0,0,0,0,100.00,0.00,0.00,2024-10-01,2024-12-23
S, Bifall,Röstning,2009-04-01 00:00:00+00,2009,2,2,2,0,0,0,0,100.00,0.00,0.00,2009-05-26,2009-06-10
UD, Avslag,Röstning,2004-01-01 00:00:00+00,2004,1,1,0,1,0,0,0,0.00,100.00,0.00,2004-01-20,2004-01-20
Infrastrukturdepartementet,Bifall,"",2021-01-01 00:00:00+00,2021,1,1,1,0,0,0,0,100.00,0.00,0.00,2021-03-16,2021-03-16
FI, Bifall,Röstning,2011-10-01 00:00:00+00,2011,4,2,2,0,0,0,0,100.00,0.00,0.00,2011-10-19,2011-11-23
IJ," Bifall,  Bifall",Acklamation,2009-01-01 00:00:00+00,2009,1,1,1,0,0,0,0,100.00,0.00,0.00,2009-03-17,2009-03-17
FI, Bifall,Röstning,2010-04-01 00:00:00+00,2010,2,1,1,0,0,0,0,100.00,0.00,0.00,2010-04-14,2010-04-14
Kulturdepartementet,Bifall,"",2017-07-01 00:00:00+00,2017,3,1,1,0,0,0,0,100.00,0.00,0.00,2017-08-29,2017-08-29
Finansdepartementet,Bifall,"",2021-01-01 00:00:00+00,2021,1,10,10,0,0,0,0,100.00,0.00,0.00,2021-02-09,2021-03-16
M t.o.m. -04,Bifall,"",2001-10-01 00:00:00+00,2001,4,3,0,0,0,3,0,0.00,0.00,100.00,2001-10-11,2001-12-05
UD," Bifall,  Bifall,  Bifall",Röstning,2004-01-01 00:00:00+00,2004,1,1,1,0,0,0,0,100.00,0.00,0.00,2004-01-22,2004-01-22
Ju," Bifall,  Bifall,  Bifall",Acklamation,2012-10-01 00:00:00+00,2012,4,1,1,0,0,0,0,100.00,0.00,0.00,2012-11-09,2012-11-09
FI," Bifall,  Bifall,  Bifall,  Bifall,  Bifall,  Delvis bifall,  Bifall",Acklamation,2003-10-01 00:00:00+00,2003,4,1,1,0,0,0,0,100.00,0.00,0.00,2003-10-22,2003-10-22
UD, Bifall,Röstning,2003-04-01 00:00:00+00,2003,2,1,1,0,0,0,0,100.00,0.00,0.00,2003-06-10,2003-06-10
Ju, Bifall,Röstning,2010-10-01 00:00:00+00,2010,4,1,1,0,0,0,0,100.00,0.00,0.00,2010-10-12,2010-10-12
N, Bifall,Röstning,2008-01-01 00:00:00+00,2008,1,1,1,0,0,0,0,100.00,0.00,0.00,2008-03-18,2008-03-18
U, Bifall,Acklamation,2010-01-01 00:00:00+00,2010,1,2,2,0,0,0,0,100.00,0.00,0.00,2010-02-11,2010-03-23
Finansdepartementet,Bifall,"",2022-10-01 00:00:00+00,2022,4,4,4,0,0,0,0,100.00,0.00,0.00,2022-11-08,2022-11-10
JO, Bifall,Acklamation,2006-01-01 00:00:00+00,2006,1,1,1,0,0,0,0,100.00,0.00,0.00,2006-02-16,2006-02-16
UD, Bifall,Röstning,2005-10-01 00:00:00+00,2005,4,2,2,0,0,0,0,100.00,0.00,0.00,2005-10-03,2005-11-03
Jordbruksdepartementet,bifall,"",2000-01-01 00:00:00+00,2000,1,2,0,0,0,2,0,0.00,0.00,100.00,2000-01-01,2000-01-01
FI, Bifall,Röstning,2013-04-01 00:00:00+00,2013,2,1,1,0,0,0,0,100.00,0.00,0.00,2013-04-10,2013-04-10
Justitiedepartementet,Delvis bifall,"",2002-01-01 00:00:00+00,2002,1,1,0,0,0,1,0,0.00,0.00,100.00,2002-01-17,2002-01-17
JU," Bifall,  Bifall,  Bifall,  Bifall",Acklamation,2010-01-01 00:00:00+00,2010,1,1,1,0,0,0,0,100.00,0.00,0.00,2010-03-17,2010-03-17
UD, Bifall,Röstning,2005-07-01 00:00:00+00,2005,3,1,1,0,0,0,0,100.00,0.00,0.00,2005-09-29,2005-09-29
N, Bifall,Acklamation,2010-01-01 00:00:00+00,2010,1,6,6,0,0,0,0,100.00,0.00,0.00,2010-02-09,2010-03-23
S,Bifall,"",2002-04-01 00:00:00+00,2002,2,1,1,0,0,0,0,100.00,0.00,0.00,2002-04-26,2002-04-26
JO, Bifall,Acklamation,2009-07-01 00:00:00+00,2009,3,1,1,0,0,0,0,100.00,0.00,0.00,2009-09-29,2009-09-29
U t.o.m. 1 jan-07, Bifall,Acklamation,2006-01-01 00:00:00+00,2006,1,5,5,0,0,0,0,100.00,0.00,0.00,2006-01-18,2006-03-22
FI, Bifall,Acklamation,2003-10-01 00:00:00+00,2003,4,4,4,0,0,0,0,100.00,0.00,0.00,2003-10-14,2003-11-26
S, Bifall,Röstning,2010-01-01 00:00:00+00,2010,1,1,1,0,0,0,0,100.00,0.00,0.00,2010-03-08,2010-03-08
Utbildningsdepartementet,Bifall,"",2022-10-01 00:00:00+00,2022,4,1,1,0,0,0,0,100.00,0.00,0.00,2022-12-13,2022-12-13
Finansdepartementet,Bifall,"",2018-10-01 00:00:00+00,2018,4,2,2,0,0,0,0,100.00,0.00,0.00,2018-11-15,2018-11-15
Näringsdepartementet,Bifall,"",2019-01-01 00:00:00+00,2019,1,3,3,0,0,0,0,100.00,0.00,0.00,2019-01-31,2019-02-05
S,Bifall,"",2001-07-01 00:00:00+00,2001,3,1,0,0,0,1,0,0.00,0.00,100.00,2001-09-19,2001-09-19
S, Delvis bifall,Röstning,2003-04-01 00:00:00+00,2003,2,1,1,0,0,0,0,100.00,0.00,0.00,2003-06-11,2003-06-11
S, Delvis bifall,Acklamation,2005-10-01 00:00:00+00,2005,4,1,1,0,0,0,0,100.00,0.00,0.00,2005-12-29,2005-12-29
N, Delvis bifall,Röstning,2010-10-01 00:00:00+00,2010,4,1,1,0,0,0,0,100.00,0.00,0.00,2010-10-25,2010-10-25
JU," Bifall,  Bifall",Röstning,2008-04-01 00:00:00+00,2008,2,1,1,0,0,0,0,100.00,0.00,0.00,2008-04-15,2008-04-15
S," Delvis bifall,  Delvis bifall",Röstning,2011-04-01 00:00:00+00,2011,2,1,1,0,0,0,0,100.00,0.00,0.00,2011-05-24,2011-05-24
A, Bifall,Acklamation,2011-01-01 00:00:00+00,2011,1,3,3,0,0,0,0,100.00,0.00,0.00,2011-02-16,2011-03-17
FI,"","",2001-04-01 00:00:00+00,2001,2,1,0,0,0,1,0,0.00,0.00,100.00,2001-05-30,2001-05-30
FI," Bifall,  Bifall",Acklamation,2008-01-01 00:00:00+00,2008,1,2,2,0,0,0,0,100.00,0.00,0.00,2008-02-19,2008-03-18
JU, Bifall,Acklamation,2005-04-01 00:00:00+00,2005,2,7,7,0,0,0,0,100.00,0.00,0.00,2005-04-01,2005-06-29
JU, Delvis bifall,Acklamation,2003-04-01 00:00:00+00,2003,2,2,2,0,0,0,0,100.00,0.00,0.00,2003-05-28,2003-06-25
Utbildningsdepartementet,Bifall,"",2020-04-01 00:00:00+00,2020,2,1,1,0,0,0,0,100.00,0.00,0.00,2020-06-23,2020-06-23
S," Bifall,  Bifall,  Bifall",Röstning,2011-04-01 00:00:00+00,2011,2,1,1,0,0,0,0,100.00,0.00,0.00,2011-05-31,2011-05-31
FI, Bifall,Acklamation,2011-07-01 00:00:00+00,2011,3,2,2,0,0,0,0,100.00,0.00,0.00,2011-09-20,2011-09-28
N, Delvis bifall,Acklamation,2008-01-01 00:00:00+00,2008,1,1,1,0,0,0,0,100.00,0.00,0.00,2008-03-18,2008-03-18
A, Bifall,Acklamation,2008-01-01 00:00:00+00,2008,1,3,3,0,0,0,0,100.00,0.00,0.00,2008-03-14,2008-03-14
S, Bifall,Acklamation,2012-01-01 00:00:00+00,2012,1,5,5,0,0,0,0,100.00,0.00,0.00,2012-02-21,2012-03-22
M, Bifall,Acklamation,2010-04-01 00:00:00+00,2010,2,1,1,0,0,0,0,100.00,0.00,0.00,2010-06-02,2010-06-02
U, Bifall,Röstning,2010-01-01 00:00:00+00,2010,1,4,4,0,0,0,0,100.00,0.00,0.00,2010-02-19,2010-03-23
N, Bifall,Acklamation,2012-07-01 00:00:00+00,2012,3,2,2,0,0,0,0,100.00,0.00,0.00,2012-09-25,2012-09-25
U, Bifall,Acklamation,2008-01-01 00:00:00+00,2008,1,2,2,0,0,0,0,100.00,0.00,0.00,2008-02-12,2008-03-18
FI," Bifall,  Bifall,  Bifall,  Bifall,  Bifall,  Bifall,  Bifall,  Bifall",Röstning,2004-04-01 00:00:00+00,2004,2,1,1,0,0,0,0,100.00,0.00,0.00,2004-05-27,2004-05-27
Justitiedepartementet,Bifall,"",2021-04-01 00:00:00+00,2021,2,3,3,0,0,0,0,100.00,0.00,0.00,2021-04-06,2021-04-13
Ju, Bifall,Acklamation,2012-01-01 00:00:00+00,2012,1,6,6,0,0,0,0,100.00,0.00,0.00,2012-02-01,2012-03-28
Landsbygds- och infrastrukturdepartementet,Bifall,"",2024-04-01 00:00:00+00,2024,2,1,1,0,0,0,0,100.00,0.00,0.00,2024-04-11,2024-04-11
A, Bifall,Röstning,2007-01-01 00:00:00+00,2007,1,1,1,0,0,0,0,100.00,0.00,0.00,2007-03-22,2007-03-22
Socialdepartementet,Bifall,"",2025-01-01 00:00:00+00,2025,1,5,5,0,0,0,0,100.00,0.00,0.00,2025-01-21,2025-03-17
Finansdepartementet,Bifall,"",2015-10-01 00:00:00+00,2015,4,14,14,0,0,0,0,100.00,0.00,0.00,2015-10-06,2015-11-24
Justitiedepartementet,Bifall,"",2016-01-01 00:00:00+00,2016,1,15,15,0,0,0,0,100.00,0.00,0.00,2016-01-12,2016-03-29
Justitiedepartementet,bifall,"",2000-01-01 00:00:00+00,2000,1,16,0,0,0,16,0,0.00,0.00,100.00,2000-01-01,2000-01-01
U, Bifall,Acklamation,2013-07-01 00:00:00+00,2013,3,2,2,0,0,0,0,100.00,0.00,0.00,2013-07-03,2013-09-12
Utbildningsdepartementet,Bifall,"",2017-04-01 00:00:00+00,2017,2,2,2,0,0,0,0,100.00,0.00,0.00,2017-05-18,2017-06-14
U t.o.m. 1 jan-07, Bifall,Röstning,2005-07-01 00:00:00+00,2005,3,1,1,0,0,0,0,100.00,0.00,0.00,2005-09-29,2005-09-29
Utrikesdepartementet,Bifall,"",2017-01-01 00:00:00+00,2017,1,1,1,0,0,0,0,100.00,0.00,0.00,2017-03-21,2017-03-21
Justitiedepartementet,Bifall,"",2001-10-01 00:00:00+00,2001,4,8,5,0,0,3,0,62.50,0.00,37.50,2001-10-11,2001-12-11
S, Bifall,Acklamation,2003-01-01 00:00:00+00,2003,1,4,4,0,0,0,0,100.00,0.00,0.00,2003-01-07,2003-03-20
L, Bifall,Acklamation,2013-04-01 00:00:00+00,2013,2,1,1,0,0,0,0,100.00,0.00,0.00,2013-06-11,2013-06-11
Justitiedepartementet,Bifall,"",2015-04-01 00:00:00+00,2015,2,8,8,0,0,0,0,100.00,0.00,0.00,2015-04-08,2015-06-25
N, Bifall,Röstning,2009-01-01 00:00:00+00,2009,1,2,2,0,0,0,0,100.00,0.00,0.00,2009-03-17,2009-03-31
Justitiedepartementet,Bifall,"",2016-07-01 00:00:00+00,2016,3,2,2,0,0,0,0,100.00,0.00,0.00,2016-07-20,2016-09-20
UD, Bifall,Röstning,2011-04-01 00:00:00+00,2011,2,1,1,0,0,0,0,100.00,0.00,0.00,2011-06-09,2011-06-09
JU, Delvis bifall,Acklamation,2009-01-01 00:00:00+00,2009,1,1,1,0,0,0,0,100.00,0.00,0.00,2009-02-24,2009-02-24
JU," Bifall,  Bifall,  Bifall",Acklamation,2004-10-01 00:00:00+00,2004,4,1,1,0,0,0,0,100.00,0.00,0.00,2004-10-20,2004-10-20
UD,Bifall,"",2002-04-01 00:00:00+00,2002,2,3,2,0,0,1,0,66.67,0.00,33.33,2002-05-14,2002-05-28
