party,year,quarter,period,participation_rate,momentum,trend_direction,stability_classification
C,2014,2,2014-Q2,0.84,0.04,POSITIVE,HIGHLY_VOLATILE
KD,2014,2,2014-Q2,0.87,0.03,POSITIVE,STABLE
L,2014,2,2014-Q2,0.81,0.03,POSITIVE,STABLE
M,2014,2,2014-Q2,0.89,0.00,STABLE,VERY_STABLE
MP,2014,2,2014-Q2,0.40,0.06,STRONG_POSITIVE,STABLE
S,2014,2,2014-Q2,0.45,0.06,STRONG_POSITIVE,STABLE
SD,2014,2,2014-Q2,0.48,0.03,POSITIVE,VOLATILE
V,2014,2,2014-Q2,0.28,0.02,POSITIVE,VERY_STABLE
C,2014,1,2014-Q1,0.80,-0.08,STRONG_NEGATIVE,HIGHLY_VOLATILE
KD,2014,1,2014-Q1,0.84,-0.05,STRONG_NEGATIVE,STABLE
L,2014,1,2014-Q1,0.78,-0.05,NEGATIVE,STABLE
M,2014,1,2014-Q1,0.89,-0.01,STABLE,VERY_STABLE
MP,2014,1,2014-Q1,0.34,-0.08,STRONG_NEGATIVE,STABLE
S,2014,1,2014-Q1,0.40,-0.03,NEGATIVE,STABLE
SD,2014,1,2014-Q1,0.46,-0.09,STRONG_NEGATIVE,VOLATILE
V,2014,1,2014-Q1,0.26,0.01,STABLE,VERY_STABLE
C,2013,4,2013-Q4,0.87,0.53,STRONG_POSITIVE,HIGHLY_VOLATILE
KD,2013,4,2013-Q4,0.89,-0.01,STABLE,VERY_STABLE
L,2013,4,2013-Q4,0.82,0.08,STRONG_POSITIVE,STABLE
M,2013,4,2013-Q4,0.90,0.00,STABLE,VERY_STABLE
MP,2013,4,2013-Q4,0.42,0.08,STRONG_POSITIVE,STABLE
S,2013,4,2013-Q4,0.42,-0.02,STABLE,VERY_STABLE
SD,2013,4,2013-Q4,0.55,-0.22,STRONG_NEGATIVE,VOLATILE
V,2013,4,2013-Q4,0.25,0.01,STABLE,STABLE
C,2013,3,2013-Q3,0.35,-0.47,STRONG_NEGATIVE,HIGHLY_VOLATILE
KD,2013,3,2013-Q3,0.89,0.03,POSITIVE,VERY_STABLE
L,2013,3,2013-Q3,0.74,-0.06,STRONG_NEGATIVE,STABLE
M,2013,3,2013-Q3,0.91,0.00,STABLE,VERY_STABLE
MP,2013,3,2013-Q3,0.34,-0.09,STRONG_NEGATIVE,STABLE
S,2013,3,2013-Q3,0.44,0.00,STABLE,VERY_STABLE
SD,2013,3,2013-Q3,0.76,0.24,STRONG_POSITIVE,VOLATILE
V,2013,3,2013-Q3,0.24,-0.01,STABLE,STABLE
C,2013,2,2013-Q2,0.82,-0.01,STABLE,MODERATE
KD,2013,2,2013-Q2,0.87,-0.02,NEGATIVE,STABLE
L,2013,2,2013-Q2,0.80,0.02,STABLE,MODERATE
M,2013,2,2013-Q2,0.91,0.02,STABLE,VERY_STABLE
MP,2013,2,2013-Q2,0.43,0.08,STRONG_POSITIVE,HIGHLY_VOLATILE
S,2013,2,2013-Q2,0.44,0.01,STABLE,HIGHLY_VOLATILE
SD,2013,2,2013-Q2,0.52,-0.02,STABLE,HIGHLY_VOLATILE
V,2013,2,2013-Q2,0.25,-0.06,STRONG_NEGATIVE,HIGHLY_VOLATILE
C,2013,1,2013-Q1,0.84,-0.01,STABLE,MODERATE
KD,2013,1,2013-Q1,0.89,0.01,STABLE,STABLE
L,2013,1,2013-Q1,0.79,-0.05,NEGATIVE,MODERATE
M,2013,1,2013-Q1,0.89,-0.01,STABLE,VERY_STABLE
MP,2013,1,2013-Q1,0.36,-0.07,STRONG_NEGATIVE,HIGHLY_VOLATILE
S,2013,1,2013-Q1,0.43,-0.01,STABLE,HIGHLY_VOLATILE
SD,2013,1,2013-Q1,0.54,0.05,POSITIVE,HIGHLY_VOLATILE
V,2013,1,2013-Q1,0.32,0.07,STRONG_POSITIVE,HIGHLY_VOLATILE
C,2012,4,2012-Q4,0.85,-0.15,STRONG_NEGATIVE,MODERATE
KD,2012,4,2012-Q4,0.88,-0.07,STRONG_NEGATIVE,STABLE
L,2012,4,2012-Q4,0.84,-0.12,STRONG_NEGATIVE,MODERATE
M,2012,4,2012-Q4,0.90,-0.01,STABLE,VERY_STABLE
MP,2012,4,2012-Q4,0.42,-0.58,STRONG_NEGATIVE,HIGHLY_VOLATILE
S,2012,4,2012-Q4,0.44,-0.46,STRONG_NEGATIVE,HIGHLY_VOLATILE
SD,2012,4,2012-Q4,0.49,0.49,STRONG_POSITIVE,HIGHLY_VOLATILE
V,2012,4,2012-Q4,0.24,-0.65,STRONG_NEGATIVE,HIGHLY_VOLATILE
-,2012,2,2012-Q2,0.04,-0.01,STABLE,HIGHLY_VOLATILE
C,2012,2,2012-Q2,0.80,0.02,POSITIVE,STABLE
KD,2012,2,2012-Q2,0.88,0.02,STABLE,STABLE
L,2012,2,2012-Q2,0.85,0.05,POSITIVE,STABLE
M,2012,2,2012-Q2,0.90,0.01,STABLE,VERY_STABLE
MP,2012,2,2012-Q2,0.43,0.02,STABLE,HIGHLY_VOLATILE
S,2012,2,2012-Q2,0.45,0.02,POSITIVE,HIGHLY_VOLATILE
SD,2012,2,2012-Q2,0.54,0.09,STRONG_POSITIVE,HIGHLY_VOLATILE
V,2012,2,2012-Q2,0.21,-0.11,STRONG_NEGATIVE,HIGHLY_VOLATILE
-,2012,1,2012-Q1,0.05,0.04,POSITIVE,HIGHLY_VOLATILE
C,2012,1,2012-Q1,0.78,-0.02,STABLE,STABLE
KD,2012,1,2012-Q1,0.86,0.03,POSITIVE,STABLE
L,2012,1,2012-Q1,0.81,-0.01,STABLE,STABLE
M,2012,1,2012-Q1,0.88,-0.01,STABLE,STABLE
MP,2012,1,2012-Q1,0.41,-0.01,STABLE,HIGHLY_VOLATILE
S,2012,1,2012-Q1,0.43,0.12,STRONG_POSITIVE,HIGHLY_VOLATILE
SD,2012,1,2012-Q1,0.45,-0.15,STRONG_NEGATIVE,HIGHLY_VOLATILE
V,2012,1,2012-Q1,0.32,0.16,STRONG_POSITIVE,HIGHLY_VOLATILE
-,2011,4,2011-Q4,0.01,-0.78,STRONG_NEGATIVE,HIGHLY_VOLATILE
C,2011,4,2011-Q4,0.80,-0.07,STRONG_NEGATIVE,STABLE
KD,2011,4,2011-Q4,0.83,0.04,POSITIVE,STABLE
L,2011,4,2011-Q4,0.82,-0.05,STRONG_NEGATIVE,STABLE
M,2011,4,2011-Q4,0.90,-0.03,NEGATIVE,STABLE
MP,2011,4,2011-Q4,0.42,-0.50,STRONG_NEGATIVE,HIGHLY_VOLATILE
S,2011,4,2011-Q4,0.31,-0.59,STRONG_NEGATIVE,HIGHLY_VOLATILE
SD,2011,4,2011-Q4,0.59,0.59,STRONG_POSITIVE,HIGHLY_VOLATILE
V,2011,4,2011-Q4,0.16,-0.68,STRONG_NEGATIVE,HIGHLY_VOLATILE
C,2011,2,2011-Q2,0.78,0.02,STABLE,STABLE
KD,2011,2,2011-Q2,0.84,0.03,POSITIVE,STABLE
L,2011,2,2011-Q2,0.80,-0.03,NEGATIVE,STABLE
M,2011,2,2011-Q2,0.88,0.00,STABLE,VERY_STABLE
MP,2011,2,2011-Q2,0.34,-0.04,NEGATIVE,VOLATILE
S,2011,2,2011-Q2,0.35,-0.03,NEGATIVE,MODERATE
SD,2011,2,2011-Q2,0.70,0.02,POSITIVE,VERY_STABLE
V,2011,2,2011-Q2,0.19,-0.02,STABLE,MODERATE
C,2011,1,2011-Q1,0.77,-0.08,STRONG_NEGATIVE,STABLE
KD,2011,1,2011-Q1,0.81,-0.06,STRONG_NEGATIVE,STABLE
L,2011,1,2011-Q1,0.84,-0.02,NEGATIVE,STABLE
M,2011,1,2011-Q1,0.88,-0.02,STABLE,STABLE
MP,2011,1,2011-Q1,0.38,0.07,STRONG_POSITIVE,VOLATILE
S,2011,1,2011-Q1,0.37,0.04,POSITIVE,VOLATILE
SD,2011,1,2011-Q1,0.68,-0.04,NEGATIVE,STABLE
V,2011,1,2011-Q1,0.20,0.07,STRONG_POSITIVE,MODERATE
C,2010,4,2010-Q4,0.84,0.04,POSITIVE,STABLE
KD,2010,4,2010-Q4,0.87,0.05,STRONG_POSITIVE,STABLE
L,2010,4,2010-Q4,0.86,0.03,POSITIVE,MODERATE
M,2010,4,2010-Q4,0.90,0.02,POSITIVE,STABLE
MP,2010,4,2010-Q4,0.31,0.18,STRONG_POSITIVE,MODERATE
S,2010,4,2010-Q4,0.34,0.12,STRONG_POSITIVE,MODERATE
SD,2010,4,2010-Q4,0.71,,STABLE,VERY_STABLE
V,2010,4,2010-Q4,0.13,0.06,STRONG_POSITIVE,MODERATE
-,2010,2,2010-Q2,0.79,-0.03,NEGATIVE,STABLE
C,2010,2,2010-Q2,0.81,0.06,STRONG_POSITIVE,STABLE
KD,2010,2,2010-Q2,0.82,-0.01,STABLE,VERY_STABLE
L,2010,2,2010-Q2,0.83,0.07,STRONG_POSITIVE,STABLE
M,2010,2,2010-Q2,0.88,0.04,POSITIVE,STABLE
MP,2010,2,2010-Q2,0.13,-0.04,NEGATIVE,STABLE
S,2010,2,2010-Q2,0.22,0.07,STRONG_POSITIVE,MODERATE
V,2010,2,2010-Q2,0.07,0.05,STRONG_POSITIVE,STABLE
-,2010,1,2010-Q1,0.82,,STABLE,VERY_STABLE
C,2010,1,2010-Q1,0.75,,STABLE,VERY_STABLE
KD,2010,1,2010-Q1,0.83,,STABLE,VERY_STABLE
L,2010,1,2010-Q1,0.76,,STABLE,VERY_STABLE
M,2010,1,2010-Q1,0.84,,STABLE,VERY_STABLE
MP,2010,1,2010-Q1,0.17,,STABLE,VERY_STABLE
S,2010,1,2010-Q1,0.15,,STABLE,VERY_STABLE
V,2010,1,2010-Q1,0.02,,STABLE,VERY_STABLE
