hjid,id,indicator_name,source_id,source_value,source_note,source_organization,topics_indicator_element_hjid,indicator__indicators_elemen_0
60497,CC.ECH.FTR,Emission Totals - Emissions (CH4) - Fires in humid tropical forests,87,Country Climate and Development Report (CCDR),"The FAOSTAT domain Emissions Totals summarizes the greenhouse gas (GHG) emissions generated from agriculture and forest land. They consist of methane (CH4), nitrous oxide (N2O) and carbon dioxide (CO2) emissions from crop and livestock activities, forest management and include land use and land use change processes. Data are computed at Tier 1 of the IPCC Guidelines for National greenhouse gas (GHG) Inventories (IPCC, 1996; 1997; 2000; 2002; 2006; 2014). Estimates are available by country, with global coverage for the period 1961–2019 with projections for 2030 and 2050 for some categories of emissions or 1990–2019 for others. The database is updated annually.  The FAOSTAT domain Emissions Totals disseminates information estimates of CH4, N2O and CO2 emissions/removals and their aggregates in CO2eq in units of kilotonnes (kt, or 106 kg). The latter are computed by using the IPCC Fifth Assessment report global warming potentials, AR5 (IPCC, 2014).","FAO, FAOSTAT Climate Change, Emissions Totals, http://www.fao.org/faostat/en/#data/GT.",60498,
814791,GB.BAL.OVRL.GDP.ZS,"Overall budget deficit, including grants (% of GDP)",57,WDI Database Archives,"","",814792,
64390,DP.DOD.DLTC.CR.L1.GG,"Gross PSD, General Gov., Long-term, With payment due in one year or less, All instruments, Nominal Value, National Currency",20,Quarterly Public Sector Debt,"","",64391,
890406,hxpd_some_dfcl_65up,Household health expenditures (% of persons aged 65 or older with some degree of functional difficulty),92,Disability Data Hub (DDH),"","",890407,
1291583,PRJ.ATT.ALL.2.MA,Wittgenstein Projection: Percentage of the total population by highest level of educational attainment. Lower Secondary. Male,12,Education Statistics,"Share of the population of the stated age group that has completed lower secondary or incomplete upper secondary education as the highest level of educational attainment. Projections are based on collected census and survey data for the base year (around 2010) and the Medium Shared Socioeconomic Pathways (SSP2) projection model. The SSP2 is a middle-of-the-road scenario that combines medium fertility with medium mortality, medium migration, and the Global Education Trend (GET) education scenario. For more information and other projection models, consult the Wittgenstein Centre for Demography and Global Human Capital's website: http://www.oeaw.ac.at/vid/dataexplorer/",Wittgenstein Centre for Demography and Global Human Capital: http://www.oeaw.ac.at/vid/dataexplorer/,1291584,
458114,fin11_2a.4,"Can use account at a bank or similar financial institution without help if opened, older (% age 25+)",28,Global Findex database,"","",458115,
864405,HH.DHS.OOST.DO.Q2,DHS: Typology of out-of-school children. Primary. Dropped out. Quintile 2,12,Education Statistics,Typology of out-of-school children. Primary. Dropped out. Quintile 2 is the proportion of quintile 2 out-of-school children who were enrolled in school and dropped out. It is calculated as the proportion of children not classified as never-in-school expressed as a percent of the proportion of out-of-school children older than the age with the highest attendance rate. Each poverty quintile represents one fifth of students with quintile 1 being the poorest 20 percent of students and quintile 5 being the richest 20 percent of students.,Demographic and Health Surveys (DHS),864406,
68223,DT.INP.DECT.CD.SA.AR.1824.US,"Gross Ext. Debt Pmt, Interest payments on SDR allocations, More than 18 to 24, USD",22,Quarterly External Debt Statistics SDDS,"","",68224,
55815,7.8_CURR.ALLOCATION.SIGNATURE,Current allocation - Signature date (year=full date in notes),34,Global Partnership for Education,Date of GPE grant agreement signature between a recipient government and the supervising entity.,This refers to Global Partnership for Education internal information that was shared with the Local Education Group for their review and validation. The year of the date is indicated in the corresponding year column and the full date in a note for the specific indicator and country.,55816,
792984,FM.AST.PRVT.ZG.M2,Claims on private sector (annual growth as % of M2),11,Africa Development Indicators,"Claims on private sector (IFS line 32d) include gross credit from the financial system to individuals, enterprises, nonfinancial public entities not included under net domestic credit, and financial institutions not included elsewhere. Money and quasi money (M2) comprise the sum of currency outside banks, demand deposits other than those of the central government, and the time, savings, and foreign currency deposits of resident sectors other than the central government.","International Monetary Fund, International Financial Statistics and data files.",792985,
1285895,per_sa_cc.avt_q1_totmr,Average per capita transfer held by 1st quintile (poorest)-Conditional Cash Transfers-male-recipient,29,The Atlas of Social Protection: Indicators of Resilience and Equity,"","",1285896,
68397,DT.INT.DECT.CD.AR.24P.US,"Gross Ext. Debt Pmt, All Sectors, More than 2yrs, All instruments, Interest, USD",22,Quarterly External Debt Statistics SDDS,"","",68398,
65960,DT.DOD.DECT.CD.FC.OT.OT.US,"Gross Ext. F. Curr Debt Pos., Other Sectors, All maturities, All instruments, Other curr., USD",22,Quarterly External Debt Statistics SDDS,"","",65961,
1296268,SE.CLO.6.LDSEV.R.PSC.2014.F,"Learning Deprivation Severity;PASEC 2014 for grade 6 using MPL 4 for reading, Female",12,Education Statistics,"","",1296269,
1283463,per_lm_alllm.cov_q5_urb,Coverage in 5th quintile (richest) (%) - All Labor Market -urban,29,The Atlas of Social Protection: Indicators of Resilience and Equity,Percentage of population participating in Labor Market programs (includes direct and indirect beneficiaries),ASPIRE,1283464,
1299432,SE.XPD.CTOT.ZS,"Current education expenditure, total (% of total expenditure in public institutions)",2,World Development Indicators,"Current expenditure is expressed as a percentage of direct expenditure in public educational institutions (instructional and non-instructional) of the specified level of education. Financial aid to students and other transfers are excluded from direct expenditure. Current expenditure is consumed within the current year and would have to be renewed if needed in the following year. It includes staff compensation and current expenditure other than for staff compensation (ex. on teaching materials, ancillary services and administration).","Data API, UN Educational, Scientific and Cultural Organization (UNESCO), uri: https://databrowser.uis.unesco.org/resources, note: The data are obtained through the UIS API.  Detailed documentation is available at: https://api.uis.unesco.org/api/public/documentation/, publisher: UNESCO Institute for Statistics (UIS), date accessed: 2025-09-22, date published: 2025-09",1299433,
61410,CoHD_ss_LCU,Cost of starchy staples in local currency unit,88,Food Prices for Nutrition,"","",61411,
1286410,per_sa_ct.ben_q2_rur,Benefits incidence in 2nd quintile (%) - Unconditional Cash Transfers -rural,29,The Atlas of Social Protection: Indicators of Resilience and Equity,Percentage of benefits going to the second quintile  relative to the total benefits going to the population,ASPIRE,1286411,
1298655,SE.PRM.PRSL.MA.ZS,"Persistence to last grade of primary, male (% of cohort)",2,World Development Indicators,Persistence to last grade of primary is the percentage of children enrolled in the first grade of primary school who eventually reach the last grade of primary education. The estimate is based on the reconstructed cohort method.,"Data API, UN Educational, Scientific and Cultural Organization (UNESCO), uri: https://databrowser.uis.unesco.org/resources, note: The data are obtained through the UIS API.  Detailed documentation is available at: https://api.uis.unesco.org/api/public/documentation/, publisher: UNESCO Institute for Statistics (UIS), date accessed: 2025-09-22, date published: 2025-09",1298656,
790364,FM.ASC.DOMO.CN,"Claims on private sector, flow (current LCU)",11,Africa Development Indicators,"Change in domestic credit to the private sector covers changes in claims on private non-financial corporations, households, and non-profit institutions. Data; Annual flow, local currencies.  ","International Monetary Fund, International Financial Statistics and data files.",790365,
1272591,NE.DAB.TOTL.IN,Domestic Absorption Deflator,57,WDI Database Archives,"","",1272592,
1292480,SABER.SCH.ATNM.GOAL3.LVL2,SABER: (School Autonomy Accountability) Policy Goal 3 Lever 2: Participation of the school councils in financial oversight,12,Education Statistics,"Data Interpretation: 1=Latent; 2=Emerging; 3=Established; 4=Advanced. For additional information, visit the SABER: (website: http://saber.worldbank.org/index.cfm","Systems Approach for Better Education Results (SABER), World Bank",1292481,
62276,con2a.s,"No mobile phone due to lack of money (% without a phone, age 15+)",28,Global Findex database,"","",62277,
1278111,ocel_nosome_dfcl_65up,Persons aged 65 or older owing a mobility phone (% of persons aged 65 or older with none or some degree of functional difficulty),92,Disability Data Hub (DDH),"","",1278112,
67092,DT.DOD.DSOO.CD.OT.AR.EN.US,"Gross Ext. Debt Pos., Other Sectors, Short-term, Other debt liabilities, end of period, USD",22,Quarterly External Debt Statistics SDDS,"","",67093,
893184,IC.BRE.TX.OS,B-READY: Taxation: Overall Score,2,World Development Indicators,"B-READY focuses on ten topics that are organized following the life cycle of the firm and its participation in the market while opening, operating (or expanding), and closing (or reorganizing) a business. The Taxation topic measures the quality of regulation, administration, and practical implementation of tax systems across the three different dimensions, or pillars. The overall topic score is generated by averaging the scores assigned to each of the three pillars (regulatory framework, public services, and efficiency) for that topic.","Business Ready (B-READY) project, World Bank (WB), uri: https://www.worldbank.org/en/businessready",893185,
1294914,SE.CLO.4.LDSEV.S.TMS.2011.4,"Learning Deprivation Severity;TIMSS 2011 for grade 4 using MPL Low (400 points) for science, Fourth Quintile",12,Education Statistics,"","",1294915,
1294872,SE.CLO.4.LDSEV.R.PRL.2016.3,"Learning Deprivation Severity;PIRLS 2016 for grade 4 using MPL Low (400 points) for reading, Third Quintile",12,Education Statistics,"","",1294873,
68080,DT.DOR.DSCD.CD.MA.AR.US,"Gross Ext. Debt Pos., ST Rem., Central Bank, ST debt on orig. maturity, Currency and deposits, USD",22,Quarterly External Debt Statistics SDDS,"","",68081,
1297862,SE.PRM.BFIN.1,"Financing score; where a score of 1 indicates low effectiveness and 5 indicates high effectiveness in terms of adequacy, efficiency, and equity.",12,Education Statistics,"","World Bank, Global Education Policy Dashboard",1297863,
67074,DT.DOD.DSOO.CD.MA.AR.EX.US,"Gross Ext. Debt Pos., Central Bank, Short-term, Other debt liabilities, Exchange rate chg, USD",22,Quarterly External Debt Statistics SDDS,"","",67075,
1284157,per_pr_allpr.bry_q2_tot,Beneficiary incidence in 2nd quintile (%) - All Private Transfers  ,29,The Atlas of Social Protection: Indicators of Resilience and Equity,Percentage of program beneficiaries in a quintile relative to the total number of beneficiaries in the population,ASPIRE,1284158,
515533,fin13clm.9,"Took out  money from a mobile money account, less than once a month, rural (% age 15+)",28,Global Findex database,"","",515534,
1299760,SG.LAW.LEVE.PU,Law mandates paid or unpaid maternity leave (1=yes; 0=no),57,WDI Database Archives,"Law mandates paid or unpaid maternity leave is whether there is a law mandating paid or unpaid maternity leave available only to the mother. Provisions for circumstantial leave by which an employee is entitled to a certain number of days of paid leave (usually fewer than five days) upon the birth of a child are considered paternity leave; even if the law is gender-neutral, such leave is not considered maternity leave if the law covers maternity leave elsewhere.","World Bank: Women, Business and the Law.",1299761,
1288892,per_sa_sf.cov_q3_tot,Coverage in 3rd quintile (%) - School Feeding  ,29,The Atlas of Social Protection: Indicators of Resilience and Equity,Percentage of population participating in School Feeding programs (includes direct and indirect beneficiaries),ASPIRE,1288893,
1278211,OECD.TSAL.0.E0,Annual statutory teacher salaries in public institutions in USD. Pre-Primary. Starting salary,12,Education Statistics,"Starting salaries refer to the average scheduled gross salary per year for a full-time teacher with the minimum training necessary to be fully qualified at the beginning of the teaching career. Salaries are in equivalent USD converted using PPPs for private consumption. Statutory salaries refer to scheduled salaries according to official pay scales, while actual salaries refer to the average annual salary earned by a full-time teacher. The salaries reported are gross (total sum paid by the employer) less the employer’s contribution to social security and pension, according to existing salary scales. Salaries are “before tax”, i.e. before deductions for income tax. Teachers’ salaries are one component of teachers’ total compensation. Other benefits, such as regional allowances for teaching in remote areas, family allowances, reduced rates on public transport and tax allowances on the purchase of cultural materials, may also form part of teachers’ total remuneration. There are also large differences in taxation and social-benefits systems in OECD countries. All this should be borne in mind when comparing statutory salaries across countries. Data after 2009 is not comparable to data for 2009 and before due to changes in methodology. For more information, consult the OECD's Education at a Glance website: http://www.oecd.org/edu/eag.htm",Organisation for Economic Co-operation and Development (OECD),1278212,
1282792,per_lm_ac.bry_q2_preT_totfr,Beneficiary incidence in 2nd quintile (%)-Active Labor Market Programs (preT) -female-recipient,29,The Atlas of Social Protection: Indicators of Resilience and Equity,"","",1282793,
1281372,PER.SOR.FEE.PP.SHARE,World Bank: Share of total pre-primary education expenditures from parental contributions/school fees (%),12,Education Statistics,"","",1281373,
64046,DP.DOD.DLIN.CR.M1.FC.CD,"Gross PSD, Financial Public Corp., Long-term, With payment due in more than one year, Insurance, pensions, and standardized guarantee schemes, Nominal Value, US$",20,Quarterly Public Sector Debt,"","",64047,
1286465,per_sa_ct.bry_pop_totm,Beneficiary incidence in all income groups (%) - Unconditional Cash Transfers -male-beneficiary,29,The Atlas of Social Protection: Indicators of Resilience and Equity,"","",1286466,
824074,GB.XPC.WAGE.ZS,Wages and salaries (% of total expenditure),57,WDI Database Archives,"","",824075,
628201,fin24aSD.7,"Coming up with emergency funds in 30 days: possible and somewhat difficult, poorest 40% (% age 15+)",28,Global Findex database,"","",628202,
1292056,Q.5B0.5B0.C.5A.BKC.ASTT.1.STR.MX.TO1.ALL,"12_Liabilities to BIS banks (cons.), short term",54,Joint External Debt Hub,"The data are derived from the BIS Consolidated Banking Statistics (CBS), which comprise data on gross consolidated claims of banks resident in the CBS reporting.",BIS,1292057,
1286214,per_sa_ct.adq_q2_preT_tot,Adequacy of benefits in 2nd quintile (%) - Unconditional Cash Transfers (preT),29,The Atlas of Social Protection: Indicators of Resilience and Equity,Total transfer amount received by all beneficiaries in a population group as a share of the total welfare of beneficiaries in that group,ASPIRE,1286215,
1293414,SE.CLO.15Y.LDSEV.M.PS.2000.5,"Learning Deprivation Severity;PISA 2000 for grade 15Y using MPL Level 2 for math, Fifth Quintile",12,Education Statistics,Learning Deprivation Severity captures the inequality of learning among the learning deprived population and is the gap squared in relation to the minimum proficiency squared.,Education Statistics,1293415,
1039105,IT.MLT.3MIN.CD.OP,Price of a 3-minute fixed telephone local call (off-peak rate - current US$),11,Africa Development Indicators,"Please cite the International Telecommunication Union for third-party use of these data.  Local call refers to the cost of an off-peak rate 3-minute call within the same exchange area using the subscriber's own terminal (i.e., not from a public telephone). This indicator is expressed in US dollars.  ","International Telecommunication Union, World Telecommunication Development Report and database, and World Bank estimates.",1039106,
733488,fin42.4,"Received payments for the sale of agricultural products, livestock, or crops, older (% age 25+)",28,Global Findex database,"","",733489,
806747,g20.any.2,"Made or received a digital payment, men (% age 15+)",14,Gender Statistics,"The percentage of respondents who report using mobile money, a debit or credit card, or a mobile phone to make a payment from an account--or report using the internet to pay bills or to buy something online or in a store--in the past year. This includes respondents who report paying bills, sending or receiving remittances, receiving payments for agricultural products, receiving government transfers, receiving wages, or receiving a public sector pension directly from or into a bank or similar financial institution account or through a mobile money account in the past year, men (% age 15+)",Global Findex Database,806748,
67739,DT.DOD.PRBL.CD.LT.US,"Publicly Guar. Private Sector Ext. Debt Pos., Official bilateral creditors, Long-term, All instruments, USD",23,Quarterly External Debt Statistics GDDS,"","",67740,
198501,EE.BOD.MTAL.ZS,"Water pollution, metal industry (% of total BOD emissions)",57,WDI Database Archives,"Industry shares of emissions of organic water pollutants refer to emissions from manufacturing activities as defined by two-digit divisions of the International Standard Industrial Classification (ISIC), revision 2: primary metals (ISIC division 37). Emissions of organic water pollutants are measured by biochemical oxygen demand, which refers to the amount of oxygen that bacteria in water will consume in breaking down waste. This is a standard water-treatment test for the presence of organic pollutants.","1998 study by Hemamala Hettige, Muthukumara Mani, and David Wheeler, ""Industrial Pollution in Economic Development: Kuznets Revisited"" (available at www.worldbank.org/nipr). The data were updated through 2005 by the World Bank's Development Research Group using the same methodology as the initial study.",198502,
21984,2.0.hoi.Ele,HOI: Electricity,37,LAC Equity Lab,"The Human Opportunities Index (HOI) is an economic indicator that captures the degree of inequality of access to an essential service by different circumstance groups. This index takes into account the average access rate (the coverage) of a given opportunity (service) and the inequality of its distribution. The circumstances included in the HOI are the gender of the child, parents' education, household per capita income, number of siblings, presence of both parents in the household, gender of the household head, and urban or rural residence.An increase in the index can be related either to an increase in the coverage or to a more equal distribution of that service.",LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,21985,
65837,DT.DOD.CDLT.CD.PR.AR.US,"Gross Ext. Debt Pos., Publicly Guar. Private Sector Ext. Debt, Long-term, Currency and deposits, USD",22,Quarterly External Debt Statistics SDDS,"","",65838,
1204404,JI.POP.65UP.LE.ZS,"Population aged 65 and above, primary education and below (% of population with low edcuation)",86,Global Jobs Indicators Database (JOIN),"","",1204405,
61111,cfuel_any_dfcl_rur,Persons living in rural areas with clean cooking fuel (% of persons living in rural areas with any degree of functional difficulty),92,Disability Data Hub (DDH),"","",61112,
57473,al_prim_nosome_dfcl_fem,Female persons with at least primary education (% of female persons with none or some degree of functional difficulty),92,Disability Data Hub (DDH),"","",57474,
1281993,per_allsp.adq_q1_preT_tot,Adequacy of benefits in 1st quintile (poorest) (%) -All Social Protection and Labor (preT),29,The Atlas of Social Protection: Indicators of Resilience and Equity,Total transfer amount received by all beneficiaries in a population group as a share of the total welfare of beneficiaries in that group,ASPIRE,1281994,
1284249,per_pr_allpr.cov_q2_urb,Coverage in 2nd quintile (%) - All Private Transfers -urban,29,The Atlas of Social Protection: Indicators of Resilience and Equity,Percentage of population participating in Private Transfers programs (includes direct and indirect beneficiaries),ASPIRE,1284250,
1282126,per_allsp.avt_q3_rur,Average per capita transfer held by 3rd quintile -All Social Protection and Labor -rural,29,The Atlas of Social Protection: Indicators of Resilience and Equity,"Average transfer amount of  Social Protection and Labor programs among program beneficiaries (per capita, daily $ppp)",ASPIRE,1282127,
1283853,per_lm_pa_gini_urb,Gini inequality index reduction (%) -  Passive Labor Market -urban,29,The Atlas of Social Protection: Indicators of Resilience and Equity,Gini inequality index reduction due to Passive Labor Market programs as % of pre-transfer Gini index,ASPIRE,1283854,
62262,con2a.3,"No mobile phone due to lack of money, young (% ages 15-24)",28,Global Findex database,"","",62263,
1281226,PER.SEC.PTR.PUBLIC,World Bank: Pupil/Teacher Ratio for Public Secondary Schools,12,Education Statistics,"","",1281227,
1282389,per_allsp.cov_pop_totm,Coverage (%) -All Social Protection and Labor Programs -male-beneficiary,29,The Atlas of Social Protection: Indicators of Resilience and Equity,"","",1282390,
1286701,per_sa_fw.adq_pop_urb,Adequacy of benefits (%) - Subsidies -urban,29,The Atlas of Social Protection: Indicators of Resilience and Equity,Total transfer amount received by all beneficiaries in a population group as a share of the total welfare of beneficiaries in that group,ASPIRE,1286702,
60673,CC.ESG.OSFE,Employment by sector and gender (% of total) - Other services - Female,87,Country Climate and Development Report (CCDR),"Employment of Females within Other services is disaggregated from the Global Jobs Indicators Database. The Database covers socio-demographics, labor force status and employment type, employment composition by sector and occupation, education level completed, hours worked, and earnings. The database was compiled from national surveys and subnational microdata which was first harmonized for the Bank-wide I2D2 database, then quality checked by the Jobs Group.","Global Jobs Indicators Database, The World Bank. Available at: https://databank.worldbank.org/source/global-jobs-indicators-database-(join)",60674,
61105,cfuel_any_dfcl_hearing_all,Persons with clean cooking fuel (% of persons with  any degree of hearing difficulty),92,Disability Data Hub (DDH),"","",61106,
1296822,SE.CLO.8.LDSEV.M.TMS.2011.3,"Learning Deprivation Severity;TIMSS 2011 for grade 8 using MPL Low (400 points) for math, Third Quintile",12,Education Statistics,"","",1296823,
848404,HF.DYN.MORT.Q3,"Mortality rate, under-5 (per 1,000): Q3",65,Health Equity and Financial Protection Indicators,"Deaths of children before their 5th birthday per 1,000 live births. Sample: children born up to 5 years before the survey for full population mortality estimates, and up to 10 years before the survey for wealth quintile specific mortality estimates","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank",848405,
455201,fin11_2a.12,"Can use account at a bank or similar financial institution without help if opened, in laborforce (% age 15+)",28,Global Findex database,"","",455202,
217902,elc_nosome_dfcl_1529,Persons aged 15 to 29 years with electricity (% of persons aged 15 to 29 years with none or some degree of functional difficulty),92,Disability Data Hub (DDH),"","",217903,
1292150,ROD.DIST.ASPH.KM,"Length of District Road: Asphalt (in km) (BPS Data, Province only)",45,Indonesia Database for Policy and Economic Research,"",BADAN PUSAT STATISTIK - Statistics Indonesia,1292151,
57483,al_prim_some_dfcl_3044,Persons aged 30 to 44 years with at least primary education (% of persons aged 30 to 44 years with some degree of functional difficulty),92,Disability Data Hub (DDH),"","",57484,
1295376,SE.CLO.5.LDGAP.R.SPM.2019.5,"Learning Deprivation Gap;SEA-PLM 2019 for grade 5 using MPL Level 6 for reading, Fifth Quintile",12,Education Statistics,"","",1295377,
67962,DT.DOD.PVLX.EX.ZS,"Present value of external debt (% of exports of goods, services and primary income)",2,World Development Indicators,"Present value of external debt to exports of goods, services and income. Present value of debt is the sum of short-term external debt plus the discounted sum of total debt service payments due on public, publicly guaranteed, and private nonguaranteed long-term external debt over the life of existing loans. This calculation assumes that the PV of loans with a negative grant element is equal to the nominal value of the loan. Exports of goods, services and primary income is the sum of goods (merchandise) exports, exports of (nonfactor) services and income (factor) receipts. The exports denominator is a three-year average.","International Debt Statistics, World Bank (WB), uri: https://www.worldbank.org/en/programs/debt-statistics",67963,
61278,cmpu_nosome_dfcl_urb,Persons living in urban areas using a computer (% of persons living in urban areas with none or some degree of functional difficulty),92,Disability Data Hub (DDH),"","",61279,
1285404,per_sa_allsa.avt_pop_urb,Average per capita transfer - All Social Assistance -urban,29,The Atlas of Social Protection: Indicators of Resilience and Equity,"Average transfer amount of  Social Assistance programs among program beneficiaries (per capita, daily $ppp)",ASPIRE,1285405,
703093,fin37.38.2,"Received government transfer or pension, men (% age 15+)",14,Gender Statistics,"The percentage of respondents who report personally receiving any transfer or pension from the government in the past year. This includes payments for educational or medical expenses, unemployment benefits, subsidy payments, or any kind of social benefits. It also includes payments for a pension from the government, military, or public sector, men (% age 15+)",Global Findex Database,703094,
862607,HH.DHS.NAR.23.U,DHS: Net attendance rate. Secondary. Urban,12,Education Statistics,Net attendance rate. Secondary. Urban is the proportion of urban children of official secondary school age who are attending secondary school.,Demographic and Health Surveys (DHS),862608,
1293934,SE.CLO.15Y.PRF.M.PS.2018.5,"Above Proficiency;PISA 2018 for grade 15Y using MPL Level 2 for math, Fifth Quintile",12,Education Statistics,"","",1293935,
307952,FB.FCP.BREG.AL.CO.NP,593_Do laws and regulations allow consumers a cooling-off period during which they can withdraw from a product or service without a penalty?_#VHHA_02,69,Global Financial Inclusion and Consumer Protection Survey,"","",307953,
918746,IC.FRM.INFRA.IN6,Number of water insufficiencies in a typical month,13,Enterprise Surveys,Average number of water shortages in a typical month in the last fiscal year.,"World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",918747,
1268622,LO.PISA.REA.5.MA,PISA: Male 15-year-olds by reading proficiency level (%). Level 5,12,Education Statistics,"Percentage of male 15-year-old students scoring higher than 626 but lower than or equal to 698 on the PISA reading scale. Readers at Level 5 can comprehend lengthy texts, inferring which information in the text is relevant even though the information of interest may be easily overlooked. They can perform causal or other forms of reasoning based on a deep understanding of extended pieces of text. They can also answer indirect questions by inferring the relationship between the question and one or several pieces of information distributed within or across multiple texts and sources. Reflective tasks require the production or critical evaluation of hypotheses, drawing on specific information. Readers can establish distinctions between content and purpose, and between fact and opinion as applied to complex or abstract statements. They can assess neutrality and bias based on explicit or implicit cues pertaining to both the content and/or source of the information. They can also draw conclusions regarding the reliability of the claims or conclusions offered in a piece of text. For all aspects of reading, tasks at Level 5 typically involve dealing with concepts that are abstract or counterintuitive, and going through several steps until the goal is reached. In addition, tasks at this level may require the reader to handle several long texts, switching back and forth across texts in order to compare and contrast information. In this database, 2000/2003/2006 Level 5 data are calculated figures based on the current Level 5 (626 to 698) rather than the figures presented for Level 5 (626+) in PISA Reports for 2000, 2003, and 2006. Use caution in comparing results across years. For more information on comparability of results, consult the PISA website: http://www.oecd.org/pisa/",OECD Programme for International Student Assessment (PISA),1268623,
1289840,per_si_allsi.bry_q3_preT_totfr,Beneficiary incidence in 3rd quintile (%) - All Social Insurance Programs (preT) -female-recipient,29,The Atlas of Social Protection: Indicators of Resilience and Equity,"","",1289841,
1286684,per_sa_ct_p1_rur,Poverty Gap reduction (%) -  Unconditional Cash Transfers -1st quintile (poorest) -rural,29,The Atlas of Social Protection: Indicators of Resilience and Equity,Poverty gap reduction due to Cash Transfers programs as % of pre-transfer poverty gap,ASPIRE,1286685,
1286244,per_sa_ct.adq_q4_tot,Adequacy of benefits in 4th quintile (%) - Unconditional Cash Transfers,29,The Atlas of Social Protection: Indicators of Resilience and Equity,Total transfer amount received by all beneficiaries in a population group as a share of the total welfare of beneficiaries in that group,ASPIRE,1286245,
1294240,SE.CLO.15Y.PRF.S.PSD.2017.M,"Above Proficiency;PISA-D 2017 for grade 15Y using  for science, Male",12,Education Statistics,"","",1294241,
68379,DT.INT.DECT.CD.1824.US,"Ext. Debt Service Pmt, All Sectors, More than 18 to 24, All instruments, Interest, USD",22,Quarterly External Debt Statistics SDDS,"","",68380,
928543,IC.FRM.TRD.TR8,Proportion of total inputs that are of foreign origin (%),13,Enterprise Surveys,Percentage of material inputs and/or supplies of foreign origin.,"World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",928544,
1281492,PER.SOR.HH.TOT,World Bank: Share of total education expenditure (% from parent/household contributions),12,Education Statistics,"","",1281493,
67078,DT.DOD.DSOO.CD.MA.AR.NE.US,"Net Ext. Debt Position, Central Bank, Short-term, Other debt instruments, USD",22,Quarterly External Debt Statistics SDDS,"","",67079,
58839,BAR.TER.ICMP.6569.FE.ZS,Barro-Lee: Percentage of female population age 65-69 with tertiary schooling. Total (Incomplete and Completed Tertiary),12,Education Statistics,Percentage of female population age 65-69 with tertiary schooling. Total (Incomplete and Completed Tertiary),Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/,58840,
1243246,JI.UEM.NEET.RU.ZS,"Youth not in employment or education, aged 15-24, rural (% of rural youth population)",86,Global Jobs Indicators Database (JOIN),"","",1243247,
1115305,JI.EMP.INDU.ZS,"Employment in the industrial sector, aged 15-64, total (% of total employed population in working age)",86,Global Jobs Indicators Database (JOIN),"","",1115306,
634034,fin24ba.6,"Less than two weeks can be covered using savings, borrowing, selling something, seeking help from friends and family, or other ways, in case household loses its main source of income, secondary education or more (% age 15+)",28,Global Findex database,"","",634035,
1278269,OECD.TSAL.1.E0,Annual statutory teacher salaries in public institutions in USD. Primary. Starting salary,12,Education Statistics,"Starting salaries refer to the average scheduled gross salary per year for a full-time teacher with the minimum training necessary to be fully qualified at the beginning of the teaching career. Salaries are in equivalent USD converted using PPPs for private consumption. Statutory salaries refer to scheduled salaries according to official pay scales, while actual salaries refer to the average annual salary earned by a full-time teacher. The salaries reported are gross (total sum paid by the employer) less the employer’s contribution to social security and pension, according to existing salary scales. Salaries are “before tax”, i.e. before deductions for income tax. Teachers’ salaries are one component of teachers’ total compensation. Other benefits, such as regional allowances for teaching in remote areas, family allowances, reduced rates on public transport and tax allowances on the purchase of cultural materials, may also form part of teachers’ total remuneration. There are also large differences in taxation and social-benefits systems in OECD countries. All this should be borne in mind when comparing statutory salaries across countries. Data after 2009 is not comparable to data for 2009 and before due to changes in methodology. For more information, consult the OECD's Education at a Glance website: http://www.oecd.org/edu/eag.htm",Organisation for Economic Co-operation and Development (OECD),1278270,
55653,5.2.6_MRT.BAS.AID.UNICEF,"International aid disbursed to basic education, UNICEF to Mauritania (USD million) ",34,Global Partnership for Education,"International concessional aid disbursed by the reporting development partner to the basic education sector in the specific developing country. Targets indicate scheduled or projected aid. Accounted aid includes activities, projects, technical cooperation and sector and budget support (20%), as it was reported by the donor to the Global Partnership for Education.","The 2011 Monitoring Exercise on Aid Effectiveness in the Education Sector was produced by the Global Partnership for Education in parallel to the OECD’s 2011 Survey on Monitoring the Paris Declaration. Through this exercise participating donors reported on the international aid allocated and projected to specific developing countries. Data were later validated and/or updated when preparing the GPE Results Report in 2012. Most of the figures were reported in 2011 and in USD. When it was not the case, currencies were converted to USD. Data are relative to a calendar year, unless it is specified otherwise in the country notes. For further details in this 2012 Monitoring Exercise, please refer to the following web site: http://www.globalpartnership.org/our-work/areas-of-focus/aid-effectiveness/2011-monitoring-exercise-on-aid-effectiveness-2/",55654,
62298,con2b.7,"No mobile phone due to expensive minutes, poorest 40% (% age 15+)",28,Global Findex database,"","",62299,
1279249,PER.ALL.PSTF,World Bank: Pupil/Total Staff Ratio,12,Education Statistics,"","",1279250,
1293332,SE.CLO.15Y.LDGAP.S.PS.2012.4,"Learning Deprivation Gap;PISA 2012 for grade 15Y using MPL Level 2 for science, Fourth Quintile",12,Education Statistics,"","",1293333,
