election_cycle_id,cycle_year,calendar_year,semester,party,total_proposals,approved_proposals,rejected_proposals,avg_approval_rate,decision_effectiveness,temporal_approval_rate,temporal_decision_count,ministry_impact_score,ministries_with_decisions,rank_by_success_rate,rank_by_proposals,percent_rank_success,ntile_effectiveness,prev_semester_success,prev_semester_proposals,max_cycle_proposals,change_success_pct,change_proposals_pct,decision_trend,legislative_momentum
1998-2002,3,2000,autumn,m,528,0,0,0.00,LOWLY_EFFECTIVE,,,0.00,10,2,31,0.02631578947368421,3,,,174979,,,baseline,0.12
2018-2022,2,2019,autumn,S,56704,3104,53600,44.23,LOWLY_EFFECTIVE,,,93.75,12,15,22,0.2,1,92.68,8874,13470240,-52.28,538.99,declining,26.71
2018-2022,3,2020,spring,C,1564,578,986,33.33,LOWLY_EFFECTIVE,,,94.12,11,23,62,0.3142857142857143,2,30.00,28288,13470240,11.10,-94.47,stable,20.00
2002-2006,1,2002,spring,V,5544,0,630,0.00,LOWLY_EFFECTIVE,,,41.27,16,40,46,0.6842105263157895,3,12.00,61824,224374,-100.00,-91.03,declining,0.99
2010-2014,3,2012,spring,C,132,0,132,0.00,LOWLY_EFFECTIVE,,,96.97,14,44,54,0.7413793103448276,4,5.00,15510,237250,-100.00,-99.15,stable,0.02
2014-2018,1,2014,autumn,C,32487,2550,29937,32.83,LOWLY_EFFECTIVE,,,96.08,19,26,16,0.36231884057971014,2,,,155397,,,baseline,28.06
2006-2010,1,2006,spring,S,2646,693,1953,18.75,LOWLY_EFFECTIVE,,,98.41,10,1,44,0,1,1.16,167706,362560,1516.38,-98.42,improving,11.54
2010-2014,1,2010,spring,KD,73,0,73,0.00,LOWLY_EFFECTIVE,,,98.63,14,44,59,0.7413793103448276,4,2.94,32339,237250,-100.00,-99.77,stable,0.01
2002-2006,3,2004,autumn,S,224374,2924,221450,9.28,LOWLY_EFFECTIVE,,,98.84,12,25,1,0.42105263157894735,2,25.00,1501,224374,-62.88,14848.30,declining,45.57
2014-2018,2,2015,autumn,S,73062,5289,67773,64.15,MODERATELY_EFFECTIVE,,,100.00,10,7,6,0.08695652173913043,1,11.67,31110,155397,449.70,134.85,improving,57.30
2010-2014,2,2011,spring,SD,5208,0,5208,0.00,LOWLY_EFFECTIVE,,,100.00,12,44,45,0.7413793103448276,3,3.17,33432,237250,-100.00,-84.42,stable,0.88
2018-2022,1,2018,spring,L,6358,782,5576,30.56,LOWLY_EFFECTIVE,,,91.18,10,26,47,0.35714285714285715,2,26.67,27030,13470240,14.59,-76.48,stable,18.35
2022-2026,2,2023,spring,SD,92288,0,92288,0.00,LOWLY_EFFECTIVE,40.89,476800,96.88,10,43,57,0.6268656716417911,4,8.33,4696800,10435584,-100.00,-98.04,stable,0.35
2022-2026,2,2023,spring,S,339488,0,339488,0.00,LOWLY_EFFECTIVE,40.89,858240,96.88,10,43,45,0.6268656716417911,3,14.29,7201760,10435584,-100.00,-95.29,declining,1.30
1998-2002,3,2000,spring,M,4416,0,0,0.00,LOWLY_EFFECTIVE,,,0.00,10,2,17,0.02631578947368421,2,0.00,30272,174979,,-85.41,stable,1.01
2010-2014,1,2010,autumn,KD,32339,73,32266,2.94,LOWLY_EFFECTIVE,,,98.63,14,35,21,0.5862068965517241,3,,,237250,,,baseline,7.22
1998-2002,4,2001,spring,MP,588,0,0,0.00,LOWLY_EFFECTIVE,,,1.28,21,2,30,0.02631578947368421,3,0.00,46550,174979,,-98.74,stable,0.13
2022-2026,4,2025,spring,M,359424,353280,6144,97.14,HIGHLY_EFFECTIVE,39.15,487200,96.88,10,9,43,0.11940298507462686,1,78.26,285696,10435584,24.12,25.81,improving,59.66
2014-2018,1,2014,spring,MP,16014,102,15912,4.35,LOWLY_EFFECTIVE,,,96.08,19,58,32,0.8260869565217391,4,14.89,17391,155397,-70.79,-7.92,declining,6.73
2022-2026,2,2023,autumn,L,309824,29664,280160,26.67,LOWLY_EFFECTIVE,40.89,2860800,96.88,10,22,48,0.31343283582089554,2,28.57,1546624,10435584,-6.65,-79.97,stable,17.19
2006-2010,2,2007,autumn,V,86460,0,86460,0.00,LOWLY_EFFECTIVE,,,100.00,14,28,8,0.5625,3,9.09,6237,362560,-100.00,1286.24,stable,9.54
2014-2018,4,2017,spring,C,1596,570,1026,45.16,LOWLY_EFFECTIVE,,,97.37,10,12,56,0.15942028985507245,1,29.90,29792,155397,51.04,-94.64,improving,27.51
2018-2022,3,2020,autumn,M,92480,4964,87516,38.60,LOWLY_EFFECTIVE,,,94.12,11,17,16,0.22857142857142856,1,16.67,3200,13470240,131.55,2790.00,improving,23.43
2002-2006,2,2003,spring,L,20540,0,20540,0.00,LOWLY_EFFECTIVE,,,100.00,13,40,38,0.6842105263157895,4,12.41,123793,224374,-100.00,-83.41,declining,3.66
2006-2010,4,2009,autumn,M,125760,1200,124560,7.46,LOWLY_EFFECTIVE,,,99.38,13,3,5,0.041666666666666664,1,1.52,113700,362560,390.79,10.61,stable,18.35
2002-2006,3,2004,spring,MP,4214,0,4214,0.00,LOWLY_EFFECTIVE,,,98.84,12,40,49,0.6842105263157895,4,13.33,54696,224374,-100.00,-92.30,declining,0.75
2018-2022,3,2020,spring,V,4760,238,4522,6.67,LOWLY_EFFECTIVE,,,94.12,11,64,51,0.9,4,10.00,26962,13470240,-33.30,-82.35,stable,4.02
2018-2022,3,2020,autumn,S,64702,4114,60588,58.14,MODERATELY_EFFECTIVE,,,94.12,11,10,20,0.12857142857142856,1,96.55,4672,13470240,-39.78,1284.89,declining,35.08
2006-2010,4,2009,autumn,V,69760,160,69600,1.33,LOWLY_EFFECTIVE,,,99.38,13,25,12,0.5,2,0.00,21000,362560,,232.19,stable,8.49
2018-2022,2,2019,spring,S,4672,4640,32,96.55,HIGHLY_EFFECTIVE,,,93.75,12,5,53,0.05714285714285714,1,44.23,56704,13470240,118.29,-91.76,improving,57.94
1998-2002,3,2000,autumn,mp,48,0,0,0.00,LOWLY_EFFECTIVE,,,0.00,10,2,38,0.02631578947368421,4,,,174979,,,baseline,0.01
2014-2018,2,2015,spring,M,902,410,492,60.00,MODERATELY_EFFECTIVE,,,100.00,10,8,61,0.10144927536231885,1,32.08,99917,155397,87.03,-99.10,improving,36.23
2014-2018,3,2016,spring,M,2701,222,2479,5.26,LOWLY_EFFECTIVE,,,100.00,10,54,54,0.7681159420289855,4,38.10,100714,155397,-86.19,-97.32,declining,3.85
2010-2014,4,2013,autumn,C,12400,248,12152,5.48,LOWLY_EFFECTIVE,,,98.39,14,18,33,0.29310344827586204,2,0.00,132,237250,,9293.94,stable,5.38
2022-2026,3,2024,autumn,C,2567584,9888,2557696,2.27,LOWLY_EFFECTIVE,38.68,4918144,100.00,10,42,16,0.6119402985074627,3,0.00,214240,10435584,,1098.46,stable,11.20
2022-2026,4,2025,autumn,M,285696,211968,73728,78.26,HIGHLY_EFFECTIVE,39.15,320160,96.88,10,13,49,0.1791044776119403,1,100.00,352672,10435584,-21.74,-18.99,declining,48.05
2002-2006,4,2005,spring,-,70,0,70,0.00,LOWLY_EFFECTIVE,,,100.00,13,40,58,0.6842105263157895,4,3.33,3570,224374,-100.00,-98.04,stable,0.01
2022-2026,4,2025,spring,V,666624,0,666624,0.00,LOWLY_EFFECTIVE,39.15,361920,96.88,10,43,31,0.6268656716417911,4,0.00,964608,10435584,,-30.89,stable,2.56
2006-2010,3,2008,spring,S,41775,0,41775,0.00,LOWLY_EFFECTIVE,,,98.67,13,28,19,0.5625,3,3.19,338175,362560,-100.00,-87.65,stable,4.61
2010-2014,1,2010,autumn,L,27594,365,27229,6.06,LOWLY_EFFECTIVE,,,98.63,14,17,22,0.27586206896551724,2,,,237250,,,baseline,8.29
2018-2022,1,2018,autumn,S,45084,2142,42942,54.55,MODERATELY_EFFECTIVE,,,91.18,10,11,25,0.14285714285714285,1,,,13470240,,,baseline,32.86
2002-2006,1,2002,autumn,S,106680,630,105672,14.81,LOWLY_EFFECTIVE,,,41.27,16,7,14,0.10526315789473684,1,,,224374,,,baseline,27.90
2022-2026,1,2022,spring,MP,572416,5504,566912,6.67,LOWLY_EFFECTIVE,41.53,1846635,88.01,11,37,33,0.5373134328358209,3,3.70,3324416,10435584,80.27,-82.78,stable,6.20
2006-2010,1,2006,spring,L,23121,441,22680,4.35,LOWLY_EFFECTIVE,,,98.41,10,6,31,0.10416666666666667,1,1.82,26901,362560,139.01,-14.05,stable,5.16
2006-2010,4,2009,spring,M,80,0,80,0.00,LOWLY_EFFECTIVE,,,99.38,13,28,48,0.5625,4,7.46,125760,362560,-100.00,-99.94,stable,0.01
2014-2018,3,2016,autumn,S,60273,4625,55648,53.97,MODERATELY_EFFECTIVE,,,100.00,10,9,9,0.11594202898550725,1,100.00,4346,155397,-46.03,1286.86,declining,47.90
2002-2006,2,2003,spring,KD,25359,0,25359,0.00,LOWLY_EFFECTIVE,,,100.00,13,40,31,0.6842105263157895,3,14.29,162187,224374,-100.00,-84.36,declining,4.52
2010-2014,2,2011,spring,KD,448,0,448,0.00,LOWLY_EFFECTIVE,,,100.00,12,44,48,0.7413793103448276,4,5.17,19992,237250,-100.00,-97.76,stable,0.08
2014-2018,2,2015,autumn,M,99917,3157,96760,32.08,LOWLY_EFFECTIVE,,,100.00,10,29,4,0.4057971014492754,2,8.33,1020,155397,285.11,9695.78,improving,44.97
2014-2018,2,2015,spring,-,492,0,492,0.00,LOWLY_EFFECTIVE,,,100.00,10,61,67,0.8695652173913043,4,4.55,2706,155397,-100.00,-81.82,stable,0.13
2010-2014,3,2012,spring,S,14520,1650,12870,15.38,LOWLY_EFFECTIVE,,,96.97,14,3,29,0.034482758620689655,1,8.60,149028,237250,78.84,-90.26,stable,11.68
2018-2022,1,2018,autumn,SD,42364,612,41752,10.42,LOWLY_EFFECTIVE,,,91.18,10,60,26,0.8428571428571429,4,,,13470240,,,baseline,6.38
2022-2026,3,2024,autumn,M,4218880,286752,3932128,46.94,LOWLY_EFFECTIVE,38.68,5477024,100.00,10,15,9,0.208955223880597,1,100.00,319712,10435584,-53.06,1219.59,declining,44.34
2010-2014,3,2012,spring,L,132,0,132,0.00,LOWLY_EFFECTIVE,,,96.97,14,44,54,0.7413793103448276,4,1.85,19272,237250,-100.00,-99.32,stable,0.02
2022-2026,2,2023,autumn,-,82400,0,82400,0.00,LOWLY_EFFECTIVE,40.89,953600,96.88,10,43,60,0.6268656716417911,4,0.00,82560,10435584,,-0.19,stable,0.32
2022-2026,4,2025,spring,SD,116736,33792,82944,14.29,LOWLY_EFFECTIVE,39.15,97440,96.88,10,30,53,0.43283582089552236,2,0.00,82944,10435584,,40.74,improving,9.02
2022-2026,1,2022,autumn,-,82560,0,82560,0.00,LOWLY_EFFECTIVE,41.53,246218,88.01,11,43,59,0.6268656716417911,4,,,10435584,,,baseline,0.32
2006-2010,1,2006,spring,V,6237,126,6111,9.09,LOWLY_EFFECTIVE,,,98.41,10,2,42,0.020833333333333332,1,0.00,103698,362560,,-93.99,stable,6.14
2014-2018,3,2016,spring,V,4366,0,4366,0.00,LOWLY_EFFECTIVE,,,100.00,10,61,44,0.8695652173913043,4,0.00,19795,155397,,-77.94,stable,1.12
2018-2022,3,2020,spring,S,5236,5168,68,97.30,HIGHLY_EFFECTIVE,,,94.12,11,4,50,0.04285714285714286,1,58.14,64702,13470240,67.35,-91.91,improving,58.40
2018-2022,4,2021,spring,L,587328,102144,485184,16.67,LOWLY_EFFECTIVE,44.76,2646510,94.74,11,49,14,0.6857142857142857,3,34.40,4298560,13470240,-51.54,-86.34,declining,11.75
2018-2022,3,2020,autumn,C,28288,1258,27030,30.00,LOWLY_EFFECTIVE,,,94.12,11,27,27,0.37142857142857144,2,27.27,1088,13470240,10.01,2500.00,stable,18.08
2010-2014,3,2012,spring,V,6270,330,5940,6.25,LOWLY_EFFECTIVE,,,96.97,14,15,42,0.2413793103448276,1,3.53,57222,237250,77.05,-89.04,stable,4.81
2010-2014,2,2011,autumn,C,13720,168,13552,6.98,LOWLY_EFFECTIVE,,,100.00,12,14,31,0.22413793103448276,1,0.00,365,237250,,3658.90,stable,6.50
1998-2002,3,2000,spring,KD,3792,0,0,0.00,LOWLY_EFFECTIVE,,,0.00,10,2,18,0.02631578947368421,2,0.00,22272,174979,,-82.97,stable,0.87
2022-2026,3,2024,spring,KD,65920,65920,0,100.00,HIGHLY_EFFECTIVE,38.68,1564864,100.00,10,1,61,0,1,35.42,1114048,10435584,182.33,-94.08,improving,60.25
2022-2026,1,2022,spring,S,1651200,1563136,88064,89.21,HIGHLY_EFFECTIVE,41.53,6155450,88.01,11,11,21,0.14925373134328357,1,41.38,10435584,10435584,115.59,-84.18,improving,59.86
2022-2026,1,2022,spring,L,1546624,258688,1287936,28.57,LOWLY_EFFECTIVE,41.53,2585289,88.01,11,21,24,0.29850746268656714,2,25.00,522880,10435584,14.28,195.79,stable,23.07
2014-2018,4,2017,autumn,SD,43092,836,42256,12.07,LOWLY_EFFECTIVE,,,97.37,10,41,12,0.5797101449275363,3,0.00,4403,155397,,878.70,improving,18.33
2022-2026,2,2023,autumn,MP,2613728,39552,2574176,8.82,LOWLY_EFFECTIVE,40.89,3242240,96.88,10,34,14,0.4925373134328358,2,6.67,572416,10435584,32.23,356.61,stable,15.31
2014-2018,3,2016,spring,L,2812,37,2775,5.26,LOWLY_EFFECTIVE,,,100.00,10,54,52,0.7681159420289855,4,27.87,37185,155397,-81.13,-92.44,declining,3.88
2022-2026,1,2022,autumn,L,522880,27520,495360,25.00,LOWLY_EFFECTIVE,41.53,2462180,88.01,11,26,35,0.373134328358209,2,,,10435584,,,baseline,17.00
2010-2014,4,2013,autumn,KD,12276,62,12214,1.32,LOWLY_EFFECTIVE,,,98.39,14,43,34,0.7241379310344828,3,0.00,132,237250,,9200.00,stable,2.86
2022-2026,2,2023,autumn,KD,715232,85696,629536,34.88,LOWLY_EFFECTIVE,40.89,4100480,96.88,10,18,30,0.2537313432835821,2,25.44,1596160,10435584,37.11,-55.19,stable,23.67
2018-2022,4,2021,spring,M,1000160,123424,876736,16.67,LOWLY_EFFECTIVE,44.76,5645888,94.74,11,49,11,0.6857142857142857,3,35.99,13470240,13470240,-53.68,-92.58,declining,12.97
2014-2018,2,2015,spring,L,1517,205,1312,38.46,LOWLY_EFFECTIVE,,,100.00,10,18,57,0.2463768115942029,1,32.61,33374,155397,17.94,-95.45,stable,23.47
2022-2026,2,2023,autumn,V,2013856,0,2013856,0.00,LOWLY_EFFECTIVE,40.89,3146880,96.88,10,43,18,0.6268656716417911,4,14.29,2003456,10435584,-100.00,0.52,declining,7.72
2006-2010,3,2008,autumn,S,338175,300,337875,3.19,LOWLY_EFFECTIVE,,,98.67,13,12,2,0.22916666666666666,1,0.00,24354,362560,,1288.58,stable,39.22
2002-2006,1,2002,autumn,KD,69930,630,62286,7.02,LOWLY_EFFECTIVE,,,41.27,16,28,21,0.47368421052631576,2,,,224374,,,baseline,16.68
2002-2006,2,2003,autumn,S,200502,3713,196789,20.97,LOWLY_EFFECTIVE,,,100.00,13,2,3,0.017543859649122806,1,0.00,882,224374,,22632.65,improving,48.33
2002-2006,3,2004,spring,C,19608,602,19006,3.13,LOWLY_EFFECTIVE,,,98.84,12,34,39,0.5789473684210527,3,11.70,104920,224374,-73.25,-81.31,stable,5.37
2002-2006,2,2003,spring,V,2686,0,2686,0.00,LOWLY_EFFECTIVE,,,100.00,13,40,53,0.6842105263157895,4,17.65,100330,224374,-100.00,-97.32,declining,0.48
2014-2018,1,2014,autumn,M,101541,6426,95115,34.12,LOWLY_EFFECTIVE,,,96.08,19,24,2,0.3333333333333333,2,,,155397,,,baseline,46.61
2006-2010,3,2008,autumn,KD,28125,150,27975,2.63,LOWLY_EFFECTIVE,,,98.67,13,13,26,0.25,1,0.00,19932,362560,,41.10,stable,4.68
2006-2010,1,2006,autumn,S,167706,126,167580,1.16,LOWLY_EFFECTIVE,,,98.41,10,26,4,0.5208333333333334,3,,,362560,,,baseline,19.20
2010-2014,4,2013,autumn,SD,41540,186,41354,1.80,LOWLY_EFFECTIVE,,,98.39,14,39,17,0.6551724137931034,3,5.00,5148,237250,-64.00,706.92,stable,8.08
2006-2010,2,2007,spring,MP,16368,0,16368,0.00,LOWLY_EFFECTIVE,,,100.00,14,28,37,0.5625,4,1.47,49566,362560,-100.00,-66.98,stable,1.81
2002-2006,4,2005,spring,KD,22960,70,22890,2.17,LOWLY_EFFECTIVE,,,100.00,13,39,33,0.6666666666666666,3,6.97,178150,224374,-68.87,-87.11,stable,5.40
2018-2022,1,2018,autumn,V,14246,306,13940,4.00,LOWLY_EFFECTIVE,,,91.18,10,66,37,0.9285714285714286,4,,,13470240,,,baseline,2.44
2006-2010,3,2008,autumn,V,71100,375,70725,2.35,LOWLY_EFFECTIVE,,,98.67,13,15,11,0.2916666666666667,2,0.00,14256,362560,,398.74,stable,9.25
2018-2022,1,2018,spring,-,1190,34,1156,7.14,LOWLY_EFFECTIVE,,,91.18,10,62,64,0.8714285714285714,4,11.76,1802,13470240,-39.29,-33.96,stable,4.29
1998-2002,3,2000,spring,S,1216,0,0,0.00,LOWLY_EFFECTIVE,,,0.00,10,2,23,0.02631578947368421,3,0.00,27568,174979,,-95.59,stable,0.28
2006-2010,1,2006,autumn,L,26901,126,26775,1.82,LOWLY_EFFECTIVE,,,98.41,10,19,27,0.375,2,,,362560,,,baseline,4.06
2022-2026,1,2022,spring,C,880640,209152,671488,32.14,LOWLY_EFFECTIVE,41.53,3447052,88.01,11,20,28,0.2835820895522388,2,6.90,5735168,10435584,365.80,-84.64,improving,22.66
2014-2018,2,2015,autumn,V,20008,574,19434,5.41,LOWLY_EFFECTIVE,,,100.00,10,53,27,0.7536231884057971,3,3.45,20757,155397,56.81,-3.61,stable,8.40
2022-2026,2,2023,autumn,M,3190528,260384,2930144,54.17,MODERATELY_EFFECTIVE,40.89,4577280,96.88,10,14,13,0.19402985074626866,1,26.48,1997952,10435584,104.57,59.69,improving,44.73
2018-2022,2,2019,spring,C,1088,224,864,27.27,LOWLY_EFFECTIVE,,,93.75,12,31,65,0.42857142857142855,2,15.38,27744,13470240,77.31,-96.08,improving,16.37
2010-2014,3,2012,spring,KD,132,0,132,0.00,LOWLY_EFFECTIVE,,,96.97,14,44,54,0.7413793103448276,4,0.00,19206,237250,,-99.31,stable,0.02
2006-2010,3,2008,autumn,MP,67575,1050,66525,4.23,LOWLY_EFFECTIVE,,,98.67,13,8,13,0.14583333333333334,1,0.00,16368,362560,,312.85,stable,9.99
2014-2018,3,2016,spring,MP,814,814,0,100.00,HIGHLY_EFFECTIVE,,,100.00,10,1,63,0,1,17.14,9250,155397,483.43,-91.20,improving,60.21
2018-2022,2,2019,autumn,-,512,0,512,0.00,LOWLY_EFFECTIVE,,,93.75,12,67,70,0.9428571428571428,4,7.14,1190,13470240,-100.00,-56.97,stable,0.00
2018-2022,4,2021,autumn,C,5107200,361760,4745440,34.34,LOWLY_EFFECTIVE,44.76,9351002,94.74,11,20,4,0.2714285714285714,2,33.33,1564,13470240,3.03,326447.31,stable,35.77
1998-2002,3,2000,autumn,KD,22272,0,0,0.00,LOWLY_EFFECTIVE,,,0.00,10,2,10,0.02631578947368421,1,,,174979,,,baseline,5.09
2022-2026,1,2022,spring,V,2003456,137600,1865856,14.29,LOWLY_EFFECTIVE,41.53,3447052,88.01,11,30,19,0.43283582089552236,2,10.34,3241856,10435584,38.20,-38.20,stable,16.25
2018-2022,2,2019,spring,MP,576,544,32,90.91,HIGHLY_EFFECTIVE,,,93.75,12,8,69,0.1,1,28.57,6432,13470240,218.20,-91.04,improving,54.55
2022-2026,1,2022,autumn,MP,3324416,11008,3313408,3.70,LOWLY_EFFECTIVE,41.53,3323943,88.01,11,40,10,0.582089552238806,3,,,10435584,,,baseline,14.96
2022-2026,3,2024,autumn,MP,3286112,0,3286112,0.00,LOWLY_EFFECTIVE,38.68,4247488,100.00,10,43,11,0.6268656716417911,3,0.00,372448,10435584,,782.30,stable,12.60
2014-2018,3,2016,autumn,MP,9250,222,9028,17.14,LOWLY_EFFECTIVE,,,100.00,10,37,34,0.5217391304347826,3,100.00,615,155397,-82.86,1404.07,declining,12.66
2022-2026,3,2024,spring,M,352672,352672,0,100.00,HIGHLY_EFFECTIVE,38.68,3017952,100.00,10,1,44,0,1,46.94,4218880,10435584,113.04,-91.64,improving,61.35
2018-2022,4,2021,spring,C,200032,34048,165984,23.08,LOWLY_EFFECTIVE,44.76,2293642,94.74,11,39,15,0.5428571428571428,3,34.34,5107200,13470240,-32.79,-96.08,declining,14.44
2002-2006,2,2003,spring,S,1501,948,553,25.00,LOWLY_EFFECTIVE,,,100.00,13,1,55,0,1,20.97,200502,224374,19.22,-99.25,stable,15.27
2006-2010,2,2007,autumn,MP,49566,132,49434,1.47,LOWLY_EFFECTIVE,,,100.00,14,24,15,0.4791666666666667,2,5.00,3969,362560,-70.60,1148.83,stable,6.35
2010-2014,4,2013,autumn,V,45880,1674,44206,4.55,LOWLY_EFFECTIVE,,,98.39,14,26,16,0.43103448275862066,2,6.25,6270,237250,-27.20,631.74,stable,10.47
2002-2006,1,2002,autumn,M,70098,1428,61950,12.28,LOWLY_EFFECTIVE,,,41.27,16,15,20,0.24561403508771928,1,,,224374,,,baseline,19.86
2010-2014,4,2013,autumn,MP,60450,1116,59334,2.94,LOWLY_EFFECTIVE,,,98.39,14,35,8,0.5862068965517241,3,10.53,5940,237250,-72.08,917.68,stable,11.96
2014-2018,2,2015,spring,SD,3362,0,3362,0.00,LOWLY_EFFECTIVE,,,100.00,10,61,49,0.8695652173913043,4,15.91,50266,155397,-100.00,-93.31,declining,0.87
1998-2002,3,2000,autumn,c,16,0,0,0.00,LOWLY_EFFECTIVE,,,0.00,10,2,39,0.02631578947368421,4,,,174979,,,baseline,0.00
2018-2022,4,2021,autumn,MP,1229984,72352,1157632,27.27,LOWLY_EFFECTIVE,44.76,5822322,94.74,11,31,8,0.42857142857142855,2,100.00,680,13470240,-72.73,180780.00,declining,20.01
2006-2010,4,2009,autumn,L,56320,400,55920,3.70,LOWLY_EFFECTIVE,,,99.38,13,10,14,0.1875,1,1.75,43200,362560,111.43,30.37,stable,8.43
2002-2006,4,2005,spring,V,5600,140,5460,5.26,LOWLY_EFFECTIVE,,,100.00,13,31,45,0.5263157894736842,3,11.84,95830,224374,-55.57,-94.16,stable,4.15
1998-2002,3,2000,spring,C,944,0,0,0.00,LOWLY_EFFECTIVE,,,0.00,10,2,28,0.02631578947368421,3,0.00,11232,174979,,-91.60,stable,0.22
2002-2006,4,2005,spring,M,22960,420,22540,4.55,LOWLY_EFFECTIVE,,,100.00,13,32,33,0.543859649122807,3,8.59,145950,224374,-47.03,-84.27,stable,6.82
2006-2010,3,2008,autumn,L,43200,75,43125,1.75,LOWLY_EFFECTIVE,,,98.67,13,20,18,0.3958333333333333,2,0.00,264,362560,,16263.64,stable,5.82
2014-2018,1,2014,spring,M,1020,102,918,8.33,LOWLY_EFFECTIVE,,,96.08,19,46,60,0.6521739130434783,3,34.12,101541,155397,-75.59,-99.00,declining,5.26
2014-2018,1,2014,spring,S,31110,1887,29223,11.67,LOWLY_EFFECTIVE,,,96.08,19,42,17,0.5942028985507246,3,31.10,155397,155397,-62.48,-79.98,declining,15.01
1998-2002,4,2001,autumn,L,31703,0,0,0.00,LOWLY_EFFECTIVE,,,1.28,21,2,7,0.02631578947368421,1,0.00,912,174979,,3376.21,stable,7.25
2014-2018,4,2017,autumn,MP,11780,684,11096,33.33,LOWLY_EFFECTIVE,,,97.37,10,25,33,0.34782608695652173,2,100.00,814,155397,-66.67,1347.17,declining,23.03
2018-2022,3,2020,autumn,SD,61744,1904,59840,21.17,LOWLY_EFFECTIVE,,,94.12,11,42,21,0.5857142857142857,3,5.00,3712,13470240,323.40,1563.36,improving,12.89
2018-2022,1,2018,spring,V,7106,0,7106,0.00,LOWLY_EFFECTIVE,,,91.18,10,67,44,0.9428571428571428,4,4.00,14246,13470240,-100.00,-50.12,stable,0.02
2010-2014,3,2012,autumn,KD,19206,0,19206,0.00,LOWLY_EFFECTIVE,,,96.97,14,44,27,0.7413793103448276,4,0.00,448,237250,,4187.05,stable,3.24
2002-2006,1,2002,spring,L,5208,0,504,0.00,LOWLY_EFFECTIVE,,,41.27,16,40,47,0.6842105263157895,3,9.59,42126,224374,-100.00,-87.64,stable,0.93
2022-2026,3,2024,spring,S,500992,0,500992,0.00,LOWLY_EFFECTIVE,38.68,1788416,100.00,10,43,37,0.6268656716417911,3,4.55,7659904,10435584,-100.00,-93.46,stable,1.92
2002-2006,3,2004,spring,S,2494,0,2494,0.00,LOWLY_EFFECTIVE,,,98.84,12,40,54,0.6842105263157895,4,9.28,224374,224374,-100.00,-98.89,stable,0.44
1998-2002,4,2001,autumn,C,49980,0,49,0.00,LOWLY_EFFECTIVE,,,1.28,21,2,5,0.02631578947368421,1,0.00,944,174979,,5194.49,stable,11.43
2014-2018,3,2016,spring,-,185,0,185,0.00,LOWLY_EFFECTIVE,,,100.00,10,61,69,0.8695652173913043,4,11.54,3478,155397,-100.00,-94.68,declining,0.05
2006-2010,4,2009,autumn,S,362560,800,361760,2.15,LOWLY_EFFECTIVE,,,99.38,13,16,1,0.3125,2,0.00,41775,362560,,767.89,stable,41.29
1998-2002,4,2001,spring,M,12054,0,0,0.00,LOWLY_EFFECTIVE,,,1.28,21,2,12,0.02631578947368421,2,0.00,174979,174979,,-93.11,stable,2.76
2018-2022,2,2019,autumn,V,26912,0,26912,0.00,LOWLY_EFFECTIVE,,,93.75,12,67,32,0.9428571428571428,4,0.00,7106,13470240,,278.72,stable,0.08
1998-2002,3,2000,spring,L,912,0,0,0.00,LOWLY_EFFECTIVE,,,0.00,10,2,29,0.02631578947368421,3,0.00,5872,174979,,-84.47,stable,0.21
2018-2022,4,2021,autumn,V,3800608,238336,3562272,17.39,LOWLY_EFFECTIVE,44.76,8115964,94.74,11,47,6,0.6571428571428571,3,6.67,4760,13470240,160.72,79744.71,improving,21.72
2010-2014,2,2011,spring,V,6776,56,6720,5.00,LOWLY_EFFECTIVE,,,100.00,12,20,41,0.3275862068965517,2,0.00,55440,237250,,-87.78,stable,4.14
2022-2026,3,2024,spring,L,23072,23072,0,100.00,HIGHLY_EFFECTIVE,38.68,558880,100.00,10,1,65,0,1,15.38,260384,10435584,550.20,-91.14,improving,60.09
2022-2026,4,2025,autumn,SD,82944,0,82944,0.00,LOWLY_EFFECTIVE,39.15,111360,96.88,10,43,58,0.6268656716417911,4,0.00,115360,10435584,,-28.10,stable,0.32
2022-2026,4,2025,autumn,MP,795648,0,795648,0.00,LOWLY_EFFECTIVE,39.15,348000,96.88,10,43,29,0.6268656716417911,4,0.00,474624,10435584,,67.64,stable,3.05
2002-2006,2,2003,autumn,C,98276,1896,96380,16.07,LOWLY_EFFECTIVE,,,100.00,13,5,17,0.07017543859649122,1,0.00,6132,224374,,1502.67,improving,27.16
2018-2022,2,2019,spring,V,6496,544,5952,11.76,LOWLY_EFFECTIVE,,,93.75,12,57,45,0.8,4,0.00,26912,13470240,,-75.86,improving,7.08
2022-2026,3,2024,spring,V,474624,0,474624,0.00,LOWLY_EFFECTIVE,38.68,2235520,100.00,10,43,39,0.6268656716417911,3,0.00,2043520,10435584,,-76.77,stable,1.82
2010-2014,3,2012,autumn,L,19272,66,19206,1.85,LOWLY_EFFECTIVE,,,96.97,14,38,26,0.6379310344827587,3,3.28,20328,237250,-43.60,-5.19,stable,4.36
2002-2006,2,2003,autumn,KD,162187,2923,159264,14.29,LOWLY_EFFECTIVE,,,100.00,13,8,6,0.12280701754385964,1,0.00,22974,224374,,605.96,improving,37.49
